,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_j,ratingHashReview_j,ratingAccountReview_j,ratingNoTweet_q,ratingHashReview_q,ratingAccountReview_q,ratingTwitter3_j,ratingTwitter4_j,ratingTwitter3_q,ratingTwitter4_q,ratingLike_j,ratingLike_q,ratingView_j,ratingView_q,ratingWebsite_j,ratingWebsite_q,finalRating1,finalRating2,finalRating3,finalRating4
30,Flower in Shade,????? Boy Love Lovely Room,467,?????????????? #?????????????????????????? ???????????????????????????????????,"1,003",??,29,https://cdn.readawrite.com/articles/1935/1934870/thumbnail/,172,"??????????????????????????,??????????????????",#?????????????????????????? ?????,31512,,??????????????????????????,20,0,2,1,3,2,5,3.3,1.3,2,1.8,3.2,3.6,1,5,1,5,1,5,5,4.4,3.8,4.1
763,Jaylerqz,????? Boy Love Lovely Room,"7,922",???????? ??????????????????????????? ???????????????????????????????????????????????????????????????,"11,163",??,23,https://cdn.readawrite.com/articles/1705/1704404/thumbnail/,2492,"Boy Love/Yaoi,????????,18+,?????,?????,??????????,JAYLERQZ,??????",#????????????????????? END,693868,,?????????????????????,17,1,0,1,2,2,5,1.7,2.5,1.7,1.5,3.1,3.6,3,5,3,5,3,5,5,3.9,3.7,4.1
54,zearet18,????? Boy Love Secret Room,836,??????????????????????????? ?????????????????????????????????????????...,"3,082",??,5,https://cdn.readawrite.com/articles/1991/1990544/thumbnail/,418,,Friend with Erotic #?????????????,56892,,?????????????,37,0,0,2,2,2,5,1.7,1.3,2,2,2.7,3.2,2,5,1,5,1.3,5,5,3.9,3.5,3.8
175,Melenalike,????? Boy Love Lovely Room,409,??????????????????????????,964,??,4,https://cdn.readawrite.com/articles/2066/2065170/thumbnail/,174,"??????????,Boy love / Yaoi / ?????????,#yaoi #?????? #?x? #???????? #??????????? #BL #Mpreg,???????????",(Mpreg) Endless Time #??????????,15076,,??????????,40,0,0,2,2,2,5,1.7,1.3,2,2,2.7,3.2,1,5,1,5,1,5,5,3.9,3.5,3.8
933,25.15.66,????? Boy Love Lovely Room,"1,129",?????????...??????????????????,"2,724",??,26,https://cdn.readawrite.com/articles/1811/1810107/thumbnail/,455,,I will be your everything #???????????????????????? (YAOI),106863,,????????????????????????,26,0,0,2,2,2,5,1.7,1.3,2,2,2.7,3.2,2,5,1,5,1.3,5,5,3.9,3.5,3.8
842,cincere,????? Boy Love Lovely Room,239,?????????????????????????????? ?????????????????????????????????????????????????????? ??????????????,"1,008",??,13,https://cdn.readawrite.com/articles/1724/1723368/thumbnail/,114,"?????????,Boy Love/Yaoi,????????,???????????????,????????????,??????????,???????????,???????????",#?????????,12185,,?????????,21,0,0,1,2,2,5,1.7,1.3,1.7,1.5,2.7,3.2,1,5,1,5,1,5,5,3.9,3.5,3.8
251,littlebbear96,????? Boy Love Lovely Room,189,???????????????????????????????? ?????????????????????????????? ????????????????????????????????????,"1,042",??,0,https://cdn.readawrite.com/articles/2147/2146371/thumbnail/,148,,#?????????? [YAOI],4135,,??????????,115,1,5,3,4,2,5,5,2.5,3,3,4.2,4.4,1,5,1,4,1,4.3,4.8,4.8,4.2,4.4
229,pang.klom,????? Boy Love Lovely Room,40,??????????????? ‘?????????????’ ???????????????????????????????? ???????????????????????,146,??,4,https://cdn.readawrite.com/articles/2170/2169743/thumbnail/,26,"????????????????????????????????????,????????????????,???????,??????,??????????x???????????",????????????? ‘?????????????’ #????????????????????????????????????,3458,?????????????,????????????????????????????????????,329,4,1,4,2,3,5,3.3,5,3,3.2,4.4,4.6,1,4,1,4,1,4,4.7,4.1,4.3,4.4
70,FlyMeToYourHeart,????? Boy Love Lovely Room,23,"· ? Fanfiction Project, for ??? & ??? ? — #fmtyh2230 ( #YOSONG #???? )",28,??,24,https://cdn.readawrite.com/articles/2003/2002656/thumbnail/,14,,Fly Me To Your Heart | #????,1483,,????,25,0,0,2,2,2,5,1.7,1.3,2,2,2.7,3.2,1,4,1,4,1,4,4.7,3.6,3.1,3.5
601,?????? ????????? ?????????,????? Boy Love Secret Room,27,???,40,??,0,https://cdn.readawrite.com/articles/1512/1511880/thumbnail/,25,???????????????,???????????? #??????,942,????????????,??????,31,0,0,2,2,2,5,1.7,1.3,2,2,2.7,3.2,1,4,1,3,1,3.3,4.4,3.3,2.9,3.2
