,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_j,ratingHashReview_j,ratingAccountReview_j,ratingNoTweet_q,ratingHashReview_q,ratingAccountReview_q,ratingTwitter3_j,ratingTwitter4_j,ratingTwitter3_q,ratingTwitter4_q,ratingLike_j,ratingLike_q,ratingView_j,ratingView_q,ratingWebsite_j,ratingWebsite_q,finalRating1,finalRating2,finalRating3,finalRating4
386,??????~~??????????????^^^^,????? Boy Love Lovely Room,1,""" ??????????????????????? ?????????????????? ???????????????? ???????????????????? """,1,??,2,https://cdn.readawrite.com/articles/2298/2297345/thumbnail/,1,"Mpreg,????????,????????,Boy Love/Yaoi,???",{????????????????} #?????? #????????,77,????????????????,??????,4,0,0,1,2,2,3,1.7,1.3,1.7,1.5,2,2.2,1,1,1,1,1,1,2.3,1.9,1.7,1.8
541,???,????? Boy Love Lovely Room,1,"""??????????? ????????????????????????????????""",1,??,0,https://cdn.readawrite.com/articles/2368/2367286/thumbnail/,1,"??????,????",?????? #??????#????,12,??????,??????,7,0,0,1,2,2,3,1.7,1.3,1.7,1.5,2,2.2,1,1,1,1,1,1,2.3,1.9,1.7,1.8
680,????????,????? Boy Love Lovely Room,1,?????????????????????????????????????????,0,??,1,https://cdn.readawrite.com/articles/1588/1587633/thumbnail/,1,,SPECIAL FRIEND #????,38,,????,5,0,0,1,2,2,3,1.7,1.3,1.7,1.5,2,2.2,1,1,1,1,1,1,2.3,1.9,1.7,1.8
689,???????,????? Boy Love Lovely Room,0,???????????? '???' ??? '???' ???????????? ???????????????????? 3 ?? ????????????????????????,3,??,1,https://cdn.readawrite.com/articles/1595/1594117/thumbnail/,0,"??????,??????,??????,???????,Boy Love/Yaoi,18+,????????",#??????,59,,??????,4,0,0,1,2,2,3,1.7,1.3,1.7,1.5,2,2.2,1,1,1,1,1,1,2.3,1.9,1.7,1.8
930,????,????? Boy Love Lovely Room,104,??????? ?????????????? ????????????????????? ??????????????????????????????????? ??????????????????,233,??,13,https://cdn.readawrite.com/articles/1806/1805048/thumbnail/,43,?????,Loop #?????,11825,,?????,1,1,0,1,2,2,1,1.7,2.5,1.7,1.5,1.7,1.6,1,4,1,5,1,4.7,2.2,2.5,2.7,2.6
893,?,????? Boy Love Lovely Room,2,#?????????? (omegaverse): ????? Boy Love Lovely Room,19,??,0,https://cdn.readawrite.com/articles/1765/1764211/thumbnail/,2,"??????????,????????,18+,omegaverse",#?????????? (omegaverse),725,,??????????,2,1,0,1,2,2,2,1.7,2.5,1.7,1.5,2.1,2,1,2,1,3,1,2.7,2.2,2.1,2.3,2.2
242,???????,????? Boy Love Secret Room,85,????????????????????????? ????????????????????????,590,??,0,https://cdn.readawrite.com/articles/2185/2184072/thumbnail/,67,"Boy Love/Yaoi,omegaverse,vampire,werewolf,Agekink,????????????,?????????????,18+",MOONDANCE #???????????? (Omegaverse),2911,,????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,5,1,4,1,4.3,2.1,2.3,2.3,2.2
294,????,????? Boy Love Lovely Room,148,“??????????? ????????????????????????????????????” ????????? #????????????????,604,??,3,https://cdn.readawrite.com/articles/2229/2228434/thumbnail/,73,,#???????????????? (yaoi),7413,,????????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,5,1,4,1,4.3,2.1,2.3,2.3,2.2
478,??????????????? (Dai),????? Boy Love Secret Room,82,“????????????????????? ????????????????????????????? ??????????????? ‘???’ ???????,628,??,0,https://cdn.readawrite.com/articles/2316/2315347/thumbnail/,60,Boy Love/Yaoi,Little Bunny #??????????????????????,2362,,??????????????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,5,1,4,1,4.3,2.1,2.3,2.3,2.2
963,Lovely eyes,????? Boy Love Lovely Room,1,?????????????????????????????????????????????????????????????????????????????????????? ?????????????,2,??,1,https://cdn.readawrite.com/articles/1881/1880976/thumbnail/,1,"???????,??????,????????,??????,??????????",[??????????]#?????????,412,??????????,?????????,2,0,0,1,2,2,2,1.7,1.3,1.7,1.5,1.7,1.8,1,1,1,3,1,2.3,2.1,2,1.9,2
1000,my really,????? Boy Love Secret Room,0,""" ???????? ????????????????????????""",9,??,17,https://cdn.readawrite.com/articles/1909/1908029/thumbnail/,0,"Boy Love/Yaoi,18+,?????????????,????????,????????",because of you #????????,817,,????????,2,0,0,1,2,2,2,1.7,1.3,1.7,1.5,1.7,1.8,1,1,1,3,1,2.3,2.1,2,1.9,2
163,lalune,????? Boy Love Lovely Room,65,?????????????????? ???????????????????????????? ????????????????????????????????????????,69,??,22,https://cdn.readawrite.com/articles/2059/2058275/thumbnail/,18,"Boy Love/Yaoi,Boy love / Yaoi / ?????????",The lucky one #????????????????,2661,,????????????????,1,0,1,1,2,2,1,3.3,1.3,1.7,1.5,1.9,1.6,1,4,1,4,1,4,2,2.8,2.6,2.4
258,??????????????????????,????? Boy Love Lovely Room,57,????????????? ???????????????? ?????????????????????????? ???????????? ????????????? ???????????????,88,??,5,https://cdn.readawrite.com/articles/2152/2151272/thumbnail/,25,"????????????,????????,18+,Boy Love/Yaoi,??,??????,?????????,??????,???,?????????,feelgood",My Invisible Twin #???????????????,1349,,???????????????,1,0,1,1,2,2,1,3.3,1.3,1.7,1.5,1.9,1.6,1,4,1,4,1,4,2,2.8,2.6,2.4
49,lyly_9397,????? Boy Love Secret Room,71,???????????????????????BL ????? '??????' ?????????????????????????????????? ?????? ??????? ??????? ?,118,??,6,https://cdn.readawrite.com/articles/1989/1988689/thumbnail/,26,"??????????????????,gakook,yoonkook,BTS",The Julia Princess #??????????????????,3176,,??????????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,4,1,4,1,4,2,2.2,2.2,2.1
352,Lucky sage?,????? Boy Love Secret Room,32,??????? ????????????????????????????????????????????????????????????????????????????????????????????,71,??,9,https://cdn.readawrite.com/articles/2270/2269870/thumbnail/,12,,#?????????????????? [???x???],2368,,??????????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,4,1,4,1,4,2,2.2,2.2,2.1
662,Jimung,????? Boy Love Lovely Room,46,???????????????????????????? ?????????????????????????? ??????????????????????????????? BNyoung,55,??,15,https://cdn.readawrite.com/articles/1620/1619788/thumbnail/,15,"?????????????,??????,BNyoung,bnior",#?????????????,2403,,?????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,4,1,4,1,4,2,2.2,2.2,2.1
741,Small_lade,????? Boy Love Secret Room,96,""" ???????????????????????!! "" "" ??????? ??????????? """,141,??,18,https://cdn.readawrite.com/articles/1641/1640185/thumbnail/,39,,???????? #???????,7703,????????,???????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,4,1,4,1,4,2,2.2,2.2,2.1
832,Star_Diamond,????? Boy Love Lovely Room,29,????????????? ??????????????? ?????????????? ??????????????????????????????????? ?????????? ???????,109,??,0,https://cdn.readawrite.com/articles/1758/1757257/thumbnail/,26,"Boy Love/Yaoi,????????,18+,????????,?????????????,??????",Don’t cry because it is over #?????????????????,1251,,?????????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,4,1,4,1,4,2,2.2,2.2,2.1
973,Bewon,????? Boy Love Lovely Room,19,'????????????????????????????' '?????????????????????????',49,??,18,https://cdn.readawrite.com/articles/1886/1885360/thumbnail/,6,"18+,Boy Love/Yaoi,????????,????????,?????????????,Feel good",Sweet Trap #??????????????????,1546,,??????????????????,1,1,1,1,2,2,1,3.3,2.5,1.7,1.5,2.3,2,1,3,1,4,1,3.7,1.9,2.7,2.8,2.6
208,????????,????? Boy Love Secret Room,18,"""???????"" ""??????????"" ""??????????"" ""?????????????""",80,??,4,https://cdn.readawrite.com/articles/2158/2157032/thumbnail/,9,"Mpreg,Yaoi",????????????????? [Mpreg]? #??????????????????????,1926,?????????????????,??,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,3,1,4,1,3.7,1.9,2.1,2.1,2
104,apriltym,????? Boy Love Lovely Room,26,???????????????? ????????????????????????????????,72,??,1,https://cdn.readawrite.com/articles/2037/2036888/thumbnail/,16,"???????????????,Boy Love/Yaoi,????????,18+,????????,???,omegaverse",[omegaverse] PRESS ZONE #???????????????,757,,???????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,4,1,3,1,3.3,1.8,2,2,1.9
557,littlebit_,????? Boy Love Secret Room,5,???Cut #?????????: ????? Boy Love Secret Room,23,??,2,https://cdn.readawrite.com/articles/1520/1519300/thumbnail/,2,,???Cut #?????????,2835,???,?????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,2,1,4,1,3.3,1.8,2,2,1.9
1018,apriltym,????? Boy Love Lovely Room,27,"""?????????????? ????????????????? ????????????????????"" #??????????????????",60,??,1,https://cdn.readawrite.com/articles/1926/1925407/thumbnail/,18,"??????????????????,Boy Love/Yaoi,????????,18+,????????,???",Hey Bro[therzone] #??????????????????,570,,??????????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,4,1,3,1,3.3,1.8,2,2,1.9
528,MyrtleMai,????? Boy Love Lovely Room,3,???????????????????,7,??,1,https://cdn.readawrite.com/articles/2395/2394133/thumbnail/,2,"????????,????????,???????????,R1SE",???????? SF #????????,75,????????,????????,3,0,0,1,2,2,2,1.7,1.3,1.7,1.5,1.7,1.8,1,2,1,1,1,1.3,1.8,1.7,1.6,1.6
265,????????,????? Boy Love Lovely Room,11,????????????????????????????????????????????????????????????? ??????????????????????????????????????,30,??,4,https://cdn.readawrite.com/articles/2202/2201169/thumbnail/,6,"??????????????,Boy Love/Yaoi,omegaverse",[Omegaverse] Mr.Mint #??????????????,509,,??????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,3,1,3,1,3,1.7,1.9,1.9,1.8
286,K.Charee,????? Boy Love Lovely Room,7,????????????????????????? ???????????????????????????????? ?????????????????????????????? ??????????,19,??,1,https://cdn.readawrite.com/articles/2226/2225064/thumbnail/,7,"??????????????????,?????????????,Boy Love/Yaoi,????????,?????",#?????????????,685,,?????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,3,1,3,1,3,1.7,1.9,1.9,1.8
450,????????????,????? Boy Love Lovely Room,7,???????????????????????????? ?????????????????????????? ?????????????????????????????????????? (????,31,??,4,https://cdn.readawrite.com/articles/2341/2340871/thumbnail/,4,"Boy Love/Yaoi,18+,??????,?????????????,???????????",Scent #?????????????,394,,?????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,3,1,3,1,3,1.7,1.9,1.9,1.8
538,Giffyguf,????? Boy Love Secret Room,29,????????????????????????????????????????????????????????????????????????????????????????????????????,88,??,7,https://cdn.readawrite.com/articles/2360/2359595/thumbnail/,7,"Boy Love/Yaoi,?????????????,????????,18+,????????,??????,Mpreg,????????,???????,??????????",#?????????????????????????? (Mpreg),948,,??????????????????????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,3,1,3,1,3,1.7,1.9,1.9,1.8
811,Depthey,????? Boy Love Lovely Room,11,????????????????????????????????????????????????????? ??????? ??????????? ??????????????????????????,16,??,5,https://cdn.readawrite.com/articles/1743/1742941/thumbnail/,5,"Boy Love/Yaoi,??????",[Yaoi]???????????????????????????? #??????????,534,????????????????????????????,??????????,1,0,0,1,2,2,1,1.7,1.3,1.7,1.5,1.3,1.2,1,3,1,3,1,3,1.7,1.9,1.9,1.8
10,?????,????? Boy Love Lovely Room,249,"?????????????????????????????????????????????.... ""??????????????????????? ???????????????????? 10 ?",264,??,18,https://cdn.readawrite.com/articles/1962/1961726/thumbnail/,53,"????????,Boy Love/Yaoi,18+,????????,???????????,?????,????????????,???????,??????",#STin ??????(???)???,24983,,??????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
13,??????????????? (Dai),????? Boy Love Secret Room,304,"""????????? ???? ???? ???????????????????????""","1,733",??,2,https://cdn.readawrite.com/articles/1964/1963548/thumbnail/,186,"18+,Boy Love/Yaoi,????????,????????",#?????????????,36470,,?????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
37,??????????????? (Dai),????? Boy Love Secret Room,163,"""???? ????????????""",959,??,2,https://cdn.readawrite.com/articles/1941/1940761/thumbnail/,101,"18+,Boy Love/Yaoi,?????????,PWP,porn,????????,?????????????,???",Pink\'s Room #???????????????,16313,,???????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
41,ForeverAfter_K?,????? Boy Love Lovely Room,876,'?????????' ?????????????????????????? ?????????????????????????????????????????????????????????????,"3,699",??,6,https://cdn.readawrite.com/articles/1986/1985325/thumbnail/,504,"Boy Love/Yaoi,18+,?????????????,omegaverse,??????,???,????????????",(Omegaverse)The Chinese Prince ???????????????? #??????????????,57478,????????????????,??????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,1,5,1.3,5,1.7,1.7,1.7,1.7
55,??????????????? (Dai),????? Boy Love Secret Room,"1,533","""???????????????????????????""","4,035",??,15,https://cdn.readawrite.com/articles/1993/1992493/thumbnail/,587,"??????,PWP,NC,Boy Love/Yaoi,???????????????",#??????????????,241333,,??????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,2,5,2,5,1.7,1.7,1.7,1.7
68,Rain-at-Rose,????? Boy Love Secret Room,"1,283",??????????????????????????????????????? '??????' ????????????????? ??????? '???????' ???????????????,"1,819",??,27,https://cdn.readawrite.com/articles/2002/2001293/thumbnail/,281,"Boy Love/Yaoi,18+,Mpreg,??????,????????,??????,?????????????,????????","Guilty Passion : #???????? [Omegaverse , Mpreg]",115472,,????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
77,Promisekv,????? Boy Love Lovely Room,663,?????????????????????????????????????????? ???????????????????????????????????,"2,052",??,18,https://cdn.readawrite.com/articles/2007/2006924/thumbnail/,272,"Boy Love/Yaoi,????????,?????????????,???,????????????,18+,????????,??????????,?????,????,Mpreg",?????????????? #??????????(Yaoi/Mpreg),82427,??????????????,??????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
90,Rain-at-Rose,????? Boy Love Secret Room,490,??????????????????????? PWP ???? Porn Without Plot ????????????????????????????????????????????????,934,??,52,https://cdn.readawrite.com/articles/1979/1978540/thumbnail/,132,"Boy Love/Yaoi,18+,Mpreg,????????,PWP,??????????????????",Guilty Passion #?????????????????,76509,,?????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
110,??????????,????? Boy Love Lovely Room,245,??????????????????????????????? ??????????? ??????????????? ?????????????????????????,237,??,19,https://cdn.readawrite.com/articles/2041/2040015/thumbnail/,57,"Boy Love/Yaoi,??????????",Wait Love ????? (Mpreg) #??????????,18048,?????,??????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
113,Jackie16,????? Boy Love Secret Room,478,def. ???????????????????????????????????????????????????'???????' ?????????????????????????????????,"2,090",??,3,https://cdn.readawrite.com/articles/2045/2044501/thumbnail/,270,NC18,#???????????,27634,,???????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
135,???????????,????? Boy Love Secret Room,548,"""??.....???????????!!""???????????????????????????????????????????????????? ""??????????????????""?????",885,??,27,https://cdn.readawrite.com/articles/2026/2025741/thumbnail/,135,"??????,????????,???,??????,??????????,??????,???????????????????,??????,??????????,??????????   Mpreg,???????,???????,??????,????????????,??????,??????,???????????????,?????????????,???????,???????",???????????????????(mpreg)#?????????????,42669,???????????????????,?????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
140,Der Quñter,????? Boy Love Secret Room,157,'?????????????????????????',322,??,8,https://cdn.readawrite.com/articles/2071/2070511/thumbnail/,68,"Stalker,??????,?????????",[SS2] ??????? ???????? ???????? #???????????,8747,???????????????????????,???????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
144,++saisioo++,????? Boy Love Secret Room,716,????????? ‘???????’ ?????????????? ?????? '???????' ????????????,"4,348",??,1,https://cdn.readawrite.com/articles/2076/2075978/thumbnail/,494,,ALL NIGHT LONG #???????????? [Yaoi],36183,,????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,1,5,1.3,5,1.7,1.7,1.7,1.7
192,27:04 PM,????? Boy Love Secret Room,893,????????????????????????????????????????????????????????????????????????????????????????????! ??????,"2,465",??,30,https://cdn.readawrite.com/articles/2129/2128965/thumbnail/,300,"?????????????,Boy Love/Yaoi,Mpreg,omegaverse,18+,????????","[END] D E A R #????????????? (Omegaverse,Mpreg)",160419,,?????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,2,5,1.7,5,1.7,1.7,1.7,1.7
197,??????????????? (Dai),????? Boy Love Secret Room,403,????????????? ????????? ??? '?????????' ??? ???????????????,"1,720",??,9,https://cdn.readawrite.com/articles/2133/2132338/thumbnail/,214,"sexfriend,???????????????,PWP",Sex Friend #?????????????????????,92872,,?????????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
209,AnnularEclipse,????? Boy Love Lovely Room,479,?????????????????????? ?????????????????????????? ?????????????????????????!,793,??,31,https://cdn.readawrite.com/articles/2157/2156007/thumbnail/,127,"Boy Love/Yaoi,????????,????????????,?????????????????????????,???,??????????????????",#?????????????????????????,55354,,?????????????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
241,applepie_,????? Boy Love Secret Room,190,?????????????? ????????????????????????????? ???????????????????????? '?????????' ??????????????????,611,??,6,https://cdn.readawrite.com/articles/2184/2183878/thumbnail/,83,"Boy Love/Yaoi,20+,????????,????????,?????????????,???",Baby Onlyfans | #????????????????????,9871,,????????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
243,karinrumpa,????? Boy Love Secret Room,"1,358",???????????????????????????? ????????? ???????????????????????????????????????????????????!!,"2,485",??,19,https://cdn.readawrite.com/articles/2184/2183201/thumbnail/,333,,#??????????????? Tossakan the Series,91886,,???????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,1,5,1.3,5,1.7,1.7,1.7,1.7
252,??????????,????? Boy Love Lovely Room,210,?????????????????????????????????????...?????????????????????????????????????????????????...????????,472,??,14,https://cdn.readawrite.com/articles/2148/2147811/thumbnail/,93,"?????????,????????,????????",????????????????????????????????????? #???????????????,14048,?????????????????????????????????????,???????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
253,Yoboseyo,????? Boy Love Lovely Room,"1,129",????????????????????????????????????????????????????? ??????????????????????????????????????????????,"3,097",??,35,https://cdn.readawrite.com/articles/2148/2147912/thumbnail/,438,"Mpreg,Boy Love/Yaoi,18+,????????,????????,???,?????????????,????????????",#?????????????????????? [Mpreg],269165,,??????????????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,2,5,2,5,1.7,1.7,1.7,1.7
264,Girin,????? Boy Love Secret Room,196,??????????????????????????? ????????????????????????? ???????????????????????????????????????????!!!,965,??,4,https://cdn.readawrite.com/articles/2201/2200610/thumbnail/,116,"Boy love / Yaoi / ?????????,monster,tentacle,PWP",#???????????? (PWP),21292,,????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
350,Overrain,????? Boy Love Lovely Room,"2,060",???????????????????????????????????????????????????????????,"3,440",??,23,https://cdn.readawrite.com/articles/2269/2268374/thumbnail/,527,,[Omegaverse] ???x??????? ??????????????????????? ? #????????????,113332,???,????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,1,5,1.3,5,1.7,1.7,1.7,1.7
351,Choeeery,????? Boy Love Lovely Room,638,?????????????????????????????????????????! ??????!!! | tw homophobic homosexuality rape,"4,153",??,9,https://cdn.readawrite.com/articles/2270/2269145/thumbnail/,362,"Boy Love/Yaoi,????????,????????,?????????????,??????,????????????,????????",?????????????????? | #???????????????????,138632,??????????????????,???????????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,1,5,1.3,5,1.7,1.7,1.7,1.7
366,so-mummy,????? Boy Love Secret Room,394,?????????????????? ?????????????? ????????????????????????...????????????????...????????????????????,"2,038",??,6,https://cdn.readawrite.com/articles/2238/2237151/thumbnail/,258,"18+,Boy Love/Yaoi,SM,????????????",13????????????[5P]#???????????????,56927,????????????,???????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
378,??????????????? (Dai),????? Boy Love Secret Room,646,"""????? ????????????????????????????""","3,323",??,7,https://cdn.readawrite.com/articles/2292/2291579/thumbnail/,365,,#?????????????????,109772,,?????????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,1,5,1.3,5,1.7,1.7,1.7,1.7
446,Jiwinil,????? Boy Love Lovely Room,159,?????????? ???????????????? ???????????????????????? ????????????????,451,??,1,https://cdn.readawrite.com/articles/2339/2338515/thumbnail/,116,Boy Love/Yaoi,Cold  Brew #?????????????????????????????,9324,,?????????????????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
480,minmini,????? Boy Love Secret Room,"2,540","""????????????????????????????????????????????????????????????????""","7,848",??,6,https://cdn.readawrite.com/articles/2317/2316604/thumbnail/,950,"#????????,Boy love / Yaoi / ?????????,AlphaxBeta,???18,PWP (?),????????,Boy Love/Yaoi,18+",?????????????????????????? #??????????????????? (Alphaxbeta),239752,??????????????????????????,???????????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,2,5,2,5,1.7,1.7,1.7,1.7
495,rentier,????? Boy Love Secret Room,91,??????????? ???????????????????,611,??,7,https://cdn.readawrite.com/articles/2371/2370728/thumbnail/,54,,#***????,26438,,????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
502,CHERRY ON TOP,????? Boy Love Secret Room,171,"""????????? ??????????????????????! ????????????????????????????????????!"" ??????????????????? ??????",411,??,8,https://cdn.readawrite.com/articles/2372/2371946/thumbnail/,70,"??????????,??????,SM,omegaverse,??????,Mpreg,18+,PWP",You\'re mine #????????????? [] Omegaverse  Mpreg,11997,,?????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
550,Tartkhai,????? Boy Love Lovely Room,753,'???????'?????????????????????????????????????????????????????? ????????????????????????????????????,"2,517",??,42,https://cdn.readawrite.com/articles/1517/1516096/thumbnail/,338,"????????,????????????????,Boy Love/Yaoi,??????,????,???????,????????",[??]?????????????????????????????????? (Mpreg) #???????,157984,??????????????????????????????????,???????,,,,0,0,0,0,0,0,0,0,0,0,2,5,2,5,2,5,1.7,1.7,1.7,1.7
562,S.Husky,????? Boy Love Secret Room,353,??????????????????? ?????????????????????????????????????????????????????????????????? (Dark Fantasy,915,??,14,https://cdn.readawrite.com/articles/1527/1526140/thumbnail/,142,"Boy Love/Yaoi,????????????,Mpreg,?????????????,NC18+,dark fantasy,sex fantasy",#????????????????????? (Mpreg/MMORPG),35856,,?????????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
565,ANTR,????? Boy Love Secret Room,433,???????????????,520,??,8,https://cdn.readawrite.com/articles/1530/1529772/thumbnail/,119,"Boy Love/Yaoi,18+,NC",work form sex #?????????,28840,,?????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
575,pap_ko,????? Boy Love Secret Room,507,"""?????? ????? ????? ?????? ??????""",915,??,30,https://cdn.readawrite.com/articles/1535/1534551/thumbnail/,184,"Boy Love/Yaoi,?????????",???????????????????????(END) #??????????????,65403,???????????????????????,??????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
585,mamamon,????? Boy Love Lovely Room,781,??????????????? ??????????????????? ??????????????????????????? ????????????????? ??????????????????,887,??,28,https://cdn.readawrite.com/articles/1543/1542315/thumbnail/,158,"????????,18+,??????,Boy Love/Yaoi,????????,?????????????,???????????,???,???",Hunter ?????????? (#??????????),49330,??????????,??????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
586,Tuskam0l?,????? Boy Love Lovely Room,329,??????????????????????????????????????????????17??????????????????????????????????????????? ????????,636,??,38,https://cdn.readawrite.com/articles/1543/1542585/thumbnail/,108,"?????,????????????,???????,idol,????,Yaoi,?????,??????,????????????????,??????????",?????????????????? ???????????\'?????\' #??????????????,34091,????????,??????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
592,mamamon,????? Boy Love Lovely Room,77,????????????????????????? ??????????????????????????????,396,??,4,https://cdn.readawrite.com/articles/1504/1503792/thumbnail/,54,"Boy Love/Yaoi,18+,????????,????????,?????????????",#????? ????????????,16519,,?????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
597,??????,????? Boy Love Secret Room,338,????????????????????????????????????????????????????????? ??????????????????????????,"1,577",??,16,https://cdn.readawrite.com/articles/1509/1508370/thumbnail/,203,"omegaverse,Fantasy,Boy Love/Yaoi,Y,school,18+,????????,????????,SM,?????????????",????????????????????????????????????? #????????????? ?????????????,132144,?????????????????????????????????????,??????????????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
611,??????????????? (Dai),????? Boy Love Secret Room,"2,801","""???????????????? PWP ????????? ??? NC ????????????? ??????????????????????????????? // ????????????","7,725",??,19,https://cdn.readawrite.com/articles/1566/1565307/thumbnail/,1169,"???????????????,18+,Boy Love/Yaoi,????????,????????,?????????????,????????????,PWP",#?????????????????????,421646,,?????????????????????,,,,0,0,0,0,0,0,0,0,0,0,2,5,2,5,2,5,1.7,1.7,1.7,1.7
624,Promisekv,????? Boy Love Lovely Room,619,???'???'????????????????????????? ???????????????????????? ?????????????????????????????????????????,"1,557",??,17,https://cdn.readawrite.com/articles/1581/1580984/thumbnail/,237,"omegaverse,Boy Love/Yaoi,?????????????,????????,????????,18+,Mpreg,??????????????,??????,???????",My daddy is Soulmate (omegaverse) #?????????????????????????,50800,,?????????????????????????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
626,luckydreamer,????? Boy Love Secret Room,380,"????????????? omegaverse ??????? ??mpreg, knotting,NTR,underage,size kink,dirty talks,non con,bdsm,s",876,??,18,https://cdn.readawrite.com/articles/1586/1585035/thumbnail/,135,"omegaverse,bl,#Mpreg,Knotting,NTR,Size Kink,non-con,bdsm,Bestiality,Sextoy,dub-con,Boy Love/Yaoi,pwp????,Erotic",(BL) ??? reminisce - omegaverse #pwp????,58921,???,????,,,,0,0,0,0,0,0,0,0,0,0,1,5,1,5,1,5,1.7,1.7,1.7,1.7
