,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
3665,จเรข,นิยาย Girl Love/ Yuri,7,เขมนิจ สาวไทยปะทะคารมกับอาหมวยเจ้าของตลาดอย่าง ตันหยง ทั้งสองไม่ถูกกันครั้งเมื่อแรกพบ หากแต่โชคชะตาม,19.0,จบ,2.0,https://cdn.readawrite.com/articles/2049/2048542/thumbnail/small.gif,4.0,"Girl Love/Yuri,นิยายรัก,หญิงรักหญิง,Yuri",ปิ่นโตสองใบเถา,https://www.readawrite.com/a/z1cr9r,672,,,,,,0.0,0.0,1.0,1.0,2.0,1.3,1.0,1.0,1.0,1.1,1.3,1.3
3666,raxsakonnn,นิยาย Girl Love/ Yuri,272,บ้านของเธอกำลังมีปัญหาและกำลังจะเป็นหนี้สินใหญ่โต แต่มันก็ไม่สุดทางเมื่อเรื่องทั้งหมดยังมีคนยื่นมือเ,503.0,จบ,24.0,https://cdn.readawrite.com/articles/2051/2050119/thumbnail/small.gif,164.0,"18+,Erotic,Girl Love/Yuri,นิยายรัก,Yuri,หญิงรักหญิง",เริ่มแรกจากงานวิวาห์ {END}​,https://www.readawrite.com/a/z1csjt,67542,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
3667,Ronic,นิยาย Girl Love/ Yuri,46,ข้าคิดว่าพระจันทร์เป็นสิ่งที่งดงามจนไม่เชื่อว่าสิ่งที่สวยกว่าพระจันทร์มีอยู่จริง.. ..จนกระทั่งได้เจอ,142.0,จบ,2.0,https://cdn.readawrite.com/articles/2051/2050212/thumbnail/small.gif,34.0,"SNSD,JETI,Jessica,Tiffany,เจทิมาแน่มาแน่เจทิ,Girl Love/Yuri,Girl love / Yuri / หญิงรักหญิง",#SelenophileJT,https://www.readawrite.com/a/z1csmh,1396,,,,,,0.0,0.0,4.0,2.0,4.0,3.3,2.0,2.1,2.5,2.6,3.3,3.3
3668,ต้มยำขาหมู,นิยาย Girl Love/ Yuri,396,พบกับภาคสองของเธอคือดวงใจของฉัน ความรักที่โตขึ้นของกัญญาและนรินทร์ พร้อมกับอุปสรรคมากมายที่เข้ามาพิส,217.0,จบ,106.0,https://cdn.readawrite.com/articles/2051/2050330/thumbnail/small.gif,60.0,"นิยายรักต่างวัย,นิยายรักโรแมนติก,#นิยายหญิงรักหญิง,นิยาย Girl Love/ Yuri,หญิงรักหญิง นิยาย เลสเบี้ยน รักร่วมเพศ,Lisa",(มี E-Book )เธอคือดวงใจของฉัน ภาค 2 [END] + SP [END],https://www.readawrite.com/a/z1cspu,55281,,,,,,0.0,0.0,4.0,5.0,4.0,4.3,2.6,2.8,3.2,3.4,4.3,4.4
3669,แลมป์โบ,นิยาย Girl Love/ Yuri,595,ต่อให้เวลาหมุนผ่านไปกี่ปีหัวใจของไอ้เกี้ยมคนนี้ก็ยังพักดีกับคุณหนูเพียงคนเดียว..,429.0,จบ,26.0,https://cdn.readawrite.com/articles/2052/2051388/thumbnail/small.gif,143.0,"นิยายยูริ นิยายyuri นิยายหญิงรักหญิง,นิยายรักวัยรุ่นยูริ,นิยายวัยรุ่น,นิยายรักโรแมนติก,นิยายรักโรแมนติกคอมิดี้,จะเด็ดดอกฟ้า",คู่รักไบโพลาร์ (เกี้ยม &amp; เกรซ),https://www.readawrite.com/a/z1ctl3,49600,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
3670,แซลม่อน,นิยาย Girl Love/ Yuri,"1,448",ที่ผ่านมาเธอปรนเปรอพี่ชายฉันยังไง ตอนนี้ฉันก็แค่อยากจะลองด้วยตัวเอง,2007.0,จบ,25.0,https://cdn.readawrite.com/articles/2052/2051589/thumbnail/small.gif,526.0,"Girl Love/Yuri,ดราม่า,นิยายรัก,18+,exit,เงารักสลับแค้น,แซลม่อน",EXIT #เงารักสลับแค้น,https://www.readawrite.com/a/z1ctqt,187541,,เงารักสลับแค้น,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
3671,มีนาม,นิยาย Girl Love/ Yuri,363,คืนนั้น .....: นิยาย Girl Love/ Yuri,948.0,จบ,6.0,https://cdn.readawrite.com/articles/2052/2051662/thumbnail/small.gif,207.0,,คืนนั้น .....,https://www.readawrite.com/a/z1ctsw,31838,,,,,,0.0,0.0,5.0,4.0,5.0,4.7,2.8,2.9,3.5,3.6,4.7,4.6
3672,Lannaa,นิยาย Girl Love/ Yuri,509,แอบรักมันเจ็บนะเว้ย,542.0,จบ,30.0,https://cdn.readawrite.com/articles/2051/2050690/thumbnail/small.gif,158.0,"Girl Love/Yuri,Yuri,ตลก,หญิงรักหญิง,นิยายรัก",เพื่อนสนิทคิด(ไม่)ซื่อ,https://www.readawrite.com/a/z1ct15,67351,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
3673,Kwang_April​,นิยาย Girl Love/ Yuri,174,ฝากดวงใจพี่ลอยล่องไปบนนภา สุดขอบฟ้าหัวใจพี่จะ...ไปถึง (เรื่องที่ 4),247.0,จบ,21.0,https://cdn.readawrite.com/articles/2051/2050997/thumbnail/small.gif,76.0,"Girl Love/Yuri,kwang_april,ไวน์",ไกล [YURI]​,https://www.readawrite.com/a/z1ct9w,29221,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
3674,◥ⓇⓋ◤༒ซึลรีน༒,นิยาย Girl Love/ Yuri,848,: ภาคเหนือมีอะไรดี? : พี่ไรเฟิลไงแก,1488.0,จบ,11.0,https://cdn.readawrite.com/articles/2053/2052254/thumbnail/small.gif,362.0,"Seulrene,Seulgi,IRENE,RedVelvet",คุณเจ้าของไร่ชาคนนั้น,https://www.readawrite.com/a/z1cuat,53821,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
