,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
113,D-Dindin,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,"4,344",ใครบอกว่ามีแต่มนุษย์ที่ต้องหนีตายเพราะซอมบี้อาละวาด สัตว์โลกน่ารักก็ต้องเอาตัวรอดเหมือนกันนะ! (ผจญภั,7806,จบ,27.0,https://cdn.readawrite.com/articles/479/478845/thumbnail/small.gif,1675.0,"ผจญภัย,เอาชีวิตรอด,Zombie,Animal Characteristic,Shounen Ai",Animal\'s Apocalypse - รังหนูรูกระต่าย,https://www.readawrite.com/a/ezb5va,277448,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
114,เยี่ยกวน,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,8,จิตใจผู้คนในยุทธภพระส่ำระสาย เรื่องประหลาด คดีพิสดาร เกิดขึ้นไม่สิ้นสุด ไม่มีผู้ใดคลี่คลายได้... ,76,จบ,39.0,https://cdn.readawrite.com/articles/556/555155/thumbnail/small.gif,7.0,"จอมยุทธ์,นิยายจีน,นิยายจีนโบราณ,นิยายแปล,ปริศนา",นิยายแปล : หน่วยดาวพิฆาตแห่งต้าซ่ง (สนพ.Princess ),https://www.readawrite.com/a/ezcx6k,6254,,,,,,0.0,0.0,3.75,5.0,5.0,4.6,2.8,2.9,3.4,3.7,4.6,4.6
115,พิมพ์นิภา,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,ดองยาวค่ะ ,1,จบ,2.0,https://cdn.readawrite.com/articles/889/888967/thumbnail/small.gif,0.0,"ตลก,ผจญภัย,ทะลุมิติ,ความรัก,นิยายโรแมนติก,ต่อสู้",กล่อมกลิ่นกาล,https://www.readawrite.com/a/ezkpo2,140,,,,,,0.0,0.0,1.25,2.0,1.0,1.4,1.0,1.0,1.1,1.1,1.4,1.4
116,Tamia,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,กาลเวลาได้ผ่านพ้นไป ประตูมิติปริศนาที่เชื่อมต่อระหว่างโลกทั้งสองใบได้ปรากฏขึ้นมาอย่างไม่ทราบสาเหตุ ย,0,จบ,1.0,https://cdn.readawrite.com/articles/891/890517/thumbnail/small.gif,0.0,"เกมออนไลน์,นิยายแฟนตาซี,ผจญภัย",World of gods,https://www.readawrite.com/a/ezkqxc,38,,,,,,0.0,0.0,1.25,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.1,1.1
117,MALSFAR,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,1,ว่ากันว่า สมบัติของพระเจ้ายังคงอยู่ มันถูกซ่อนไว้เพื่อรอเจ้าของคนต่อไป ,4,จบ,11.0,https://cdn.readawrite.com/articles/1298/1297665/thumbnail/small.gif,1.0,รักดราม่า,อำนาจจิตฯภาค๒ ล่าขุมทรัพย์พระเจ้า,https://www.readawrite.com/a/ezu9b5,265,,,,,,0.0,0.0,1.25,3.0,3.0,2.4,1.4,1.6,1.8,2.0,2.4,2.5
118,โอวเลี้ยง,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,มารเมรัย (ชื่อชั่วคราว): นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,0,จบ,1.0,https://cdn.readawrite.com/articles/1446/1445367/thumbnail/small.gif,0.0,"จอมยุทธ์,ยุทธภพ,นิยายกำลังภายใน,นิยายจีนโบราณ",มารเมรัย (ชื่อชั่วคราว),https://www.readawrite.com/a/ezxov7,55,,,,,,0.0,0.0,1.25,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.1,1.1
119,Mr.B,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,4,เพื่อมีชีวิต เพื่อสันติ เพื่อแผ่นดินแม่ และความสงบสุขของโลก หญิงสาวทั้ง4 จึงต้องจับปืน เพื่อต่อสู้กั,3,จบ,11.0,https://cdn.readawrite.com/articles/1470/1469883/thumbnail/small.gif,4.0,"นิยายแฟนตาซี,สงคราม,ต่อสู้,วิทยาศาสตร์,รถถัง,เครื่องบิน,มิติ,ต่างโลก,สงครามโลก,WW2,World war 2",ทุ่งสังหาร 122 กับลานดอก Poppy,https://www.readawrite.com/a/ezy9vn,433,,,,,,0.0,0.0,3.75,3.0,2.0,2.9,1.8,1.8,2.2,2.3,2.9,2.9
120,Neet Writer,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,127,หลิวซิง เป็นเชฟร้านอาหารแห่งหนึ่ง วันนึงได้พบชายชราประหลาดส่งตัวข้ามมิติไปยังอีกโลกและได้พบว่าตัวเอง,349,จบ,94.0,https://cdn.readawrite.com/articles/82/81485/thumbnail/small.gif,79.0,"นิยายแฟนตาซี,นิยายโรแมนติก,ดราม่า,ตลก,จอมยุทธ์,ทะลุมิติ,ปริศนา,ขุมทรัพย์,กำลังภายใน,ทำอาหาร,ผจญภัย,การเรียนรู้",เชฟทะลุมิติเย้ยยุทธภพ,https://www.readawrite.com/a/ez1vi5,58634,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
121,จีเหนียน,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,269,คำทำนายจากตำหนักเทพพยากรณ์ ถึงการมาของตัวแทนพยัคฆ์ขาว เป็นเหตุให้หลายแคว้นต่างแสวงหาคนผู้นี้โดยหวังใ,713,จบ,32.0,https://cdn.readawrite.com/articles/134/133864/thumbnail/small.gif,108.0,"นิยายจีน,นิยายจีนโบราณ,ทะลุมิติ,จอมยุทธ์",ลัดฟ้าข้ามภพ,https://www.readawrite.com/a/ez349o,64473,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
122,แมวขนยุ่ง,นิยายผจญภัย/บู๊แอ็คชั่น/กำลังภายใน,5,นางเป็นยายแก่ ต่อให้ในตอนนี้จะเป็นทารกนุ่มนิ่มนางก็คือยายแก่ นางเกิดมาไม่รู้กี่สิบกี่ร้อยรอบแล้ว สวร,25,จบ,0.0,https://cdn.readawrite.com/articles/208/207765/thumbnail/small.gif,4.0,"นิยายจีนโบราณ,จอมยุทธ์,อมตะ,เทพ,นิยายจีน",ยายแก่อย่างข้าขออยู่อย่างสงบได้หรือไม่?,https://www.readawrite.com/a/ez4tl5,709,,,,,,0.0,0.0,3.75,4.0,4.0,3.9,2.4,2.5,2.9,3.1,3.9,3.9
