,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
1470,ANGELS_INK,นิยายรักจีนโบราณ,21,"จากดาวยั่วประจำร้านเหล้า สู่นางมารแห่งหุบเขาพันพิษ! ""ตัวข้าขอปฏิญาณว่าจะไม่ลืมกมลสันดานของตนเอง! จะแ",71.0,จบ,5.0,https://cdn.readawrite.com/articles/1476/1475531/thumbnail/small.gif,17.0,"ทะลุมิติ,นิยายจีนโบราณ,นิยายรัก",ทั้งใต้หล้า หาได้มีผู้ใดงามเทียมข้าไม่!,https://www.readawrite.com/a/tzyei1,1639,,,,,,0.0,0.0,3.0,2.0,3.0,2.7,1.6,1.7,2.0,2.1,2.7,2.6
1471,แสงดาว,นิยายรักจีนโบราณ,30,นางเกิดมาพร้อมกับความสามารถและความคาดหวังของทุกๆคน สตรีสูงศักดิ์มากด้วยอำนาจ มิเคยหวั่นเกรงต่อศัตรูแ,216.0,จบ,55.0,https://cdn.readawrite.com/articles/57/56862/thumbnail/small.gif,22.0,"น่ารัก,นิยายรัก,แต่งงาน,นิยายโรแมนติก,ตลก,ย้อนยุค,หวาน,นิยายจีนโบราณ",องค์หญิงลี่หง (ภาคต่อจาก ขย่มรักเหมันต์),https://www.readawrite.com/a/tz1bem,30957,,,,,,0.0,0.0,3.0,4.0,4.0,3.7,2.2,2.4,2.8,2.9,3.7,3.7
1472,Mutan Peony,นิยายรักจีนโบราณ,11,เสือดำอย่างเขาจู่ๆ ก็มีเจ้าสาววิ่งเข้ามาหาถึงถิ่น เนิ่นนานมาแล้ว หลังจากทำสัญญาระหว่างมนุษย์และสัตว์,61.0,จบ,2.0,https://cdn.readawrite.com/articles/114/113496/thumbnail/small.gif,6.0,"นิยายจีนโบราณ,ตลก,แต่งงาน",วิวาห์พาฬนิล (สนพ.รักคุณ),https://www.readawrite.com/a/tz2mmq,4290,,,,,,0.0,0.0,2.0,3.0,3.0,2.7,1.6,1.7,2.0,2.1,2.7,2.7
1473,โม พิมพ์พลอย,นิยายรักจีนโบราณ,32,จินหวังเฟย เล่ม 2 (จบภาค) หลังจากเขาพิธีกราบไหว้ฟ้าดิน นางก็จัดการกับอนุภรรยาเสียจนเรียบ,109.0,จบ,25.0,https://cdn.readawrite.com/articles/115/114922/thumbnail/small.gif,20.0,"นิยายจีนโบราณ,ท่านอ๋อง,โม พิมพ์พลอย,สำนักพิมพ์ปองรัก,สงคราม,การศึก,ชิงไหวชิงพริบ",จินหวังเฟย เล่ม 2 (ภาคต้น),https://www.readawrite.com/a/tz2nsh,18712,,,,,,0.0,0.0,3.0,4.0,3.0,3.3,2.0,2.1,2.5,2.7,3.3,3.4
1474,Tantong,นิยายรักจีนโบราณ,17,"ความใฝ่ฝันของฉัน""โสรยา. แซ่ซือ""คือการมีลูกเป็นของตนเองโดยไม่ต้องมีสามีให้คอยดูแลหรือรำคาญใจเพราะฉันม",65.0,จบ,1.0,https://cdn.readawrite.com/articles/172/171155/thumbnail/small.gif,13.0,"นิยายจีน,นิยายจีนโบราณ,นิยายแฟนตาซี,ทะลุมิติ",ซุนซวนหลิน,https://www.readawrite.com/a/tz3yp5,6325,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
1475,หนูแดง,นิยายรักจีนโบราณ,312,ญาติผู้พี่ของนางตบแต่งฮูหยินเข้าตระกูล ใจของนางแหลกสลายแต่ต้องแสร้งทำยินดีด้วยมิอาจทำสิ่งใดได้ การญา,546.0,จบ,39.0,https://cdn.readawrite.com/articles/200/199650/thumbnail/small.gif,104.0,"น่ารัก,นิยายจีนโบราณ,นิยายรัก,นิยายโรแมนติก,ย้อนยุค,หวาน,แต่งงาน,ตลก",พี่สะใภ้ของข้าคือแม่ทัพคนงาม,https://www.readawrite.com/a/tz4mya,52406,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
1476,หลี่หง,นิยายรักจีนโบราณ,14,หากใครชมชอบเรื่องราวความรักที่อึนมึนดิบเถื่อนของพี่ชายใหญ่แห่งบ้านฟงกันมาแล้ว (ฟงชินหยาง&หลิงเวย) คร,115.0,จบ,51.0,https://cdn.readawrite.com/articles/279/278771/thumbnail/small.gif,11.0,,ร้ายพ่ายกลายรัก(ภาคพิเศษ),https://www.readawrite.com/a/tz6hjv,12115,,,,,,0.0,0.0,3.0,4.0,3.0,3.3,2.0,2.1,2.5,2.7,3.3,3.4
1477,อาจ้าว,นิยายรักจีนโบราณ,25,"""ฮ่องเต้หน้าม่อไม่รู้จักพอ ไอ่ฮ่องเต้บ้ากามอารมณ์"" ""เจ้าเป็นสตรีของข้า เจ้ากลับกล้าด่าข้ารึ!!""",107.0,จบ,1.0,https://cdn.readawrite.com/articles/306/305656/thumbnail/small.gif,11.0,"ฮ่องเต้เจ้าสำราญ,มากด้วยหญิงงามรายล้อม,ฮองเฮาผู้ยึดถือกฎระเบียบ",ฮ่องเต้เจ้าสำราญ ฮองเฮาจอมเผด็จการ,https://www.readawrite.com/a/tz74i1,5212,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
1478,อาหลานเร่อ,นิยายรักจีนโบราณ,15,หม่าซูเหม่ย หญิงสาววัยเพียง 16 หนาวนางเป็นผู้ที่สามารถมองเห็นดวงคู่ของผู้อื่นได้ รู้ว่าผู้ใดคือคู่ขอ,98.0,จบ,11.0,https://cdn.readawrite.com/articles/306/305131/thumbnail/small.gif,7.0,"นิยายจีนโบราณ,แม่สื่อ,แต่งงาน,จับคู่,รัก,นิยายจีน,นิยายรัก,ตลก,น่ารัก,หวาน,ย้อนยุค,นิยายโรแมนติก",金枝玉叶 อลวนรักร้ายแม่สื่อหมายรัก,https://www.readawrite.com/a/tz7431,4189,,,,,,0.0,0.0,2.0,3.0,3.0,2.7,1.6,1.7,2.0,2.1,2.7,2.7
1479,╰ ดาวเหนือฟ้า ╮,นิยายรักจีนโบราณ,21,นาง ไป๋เยว่ซิน โฉมงามที่ผู้คนต่างเคารพรัก นางทั้ง จิตใตดีมีเมตตา อ่อนหวาน อ่อนโยน กริยาวาจาอ่อนหวานน,190.0,จบ,0.0,https://cdn.readawrite.com/articles/356/355636/thumbnail/small.gif,19.0,นิยายจีนโบราณ,โฉมงามบ้าพลัง,https://www.readawrite.com/a/tz8ab1,6336,,,,,,0.0,0.0,3.0,3.0,4.0,3.3,2.0,2.1,2.5,2.6,3.3,3.3
1480,เหมยกว่าง,นิยายรักจีนโบราณ,59,ใครว่าจักรพรรดิชี้เป็นชี้ตายได้ทุกเรื่อง หลี่ต้ากวนขบคิดกับตัวเอง ตนอยากครอบครองคนผู้หนึ่งยิ่ง แต่กล,235.0,จบ,46.0,https://cdn.readawrite.com/articles/368/367234/thumbnail/small.gif,35.0,"นิยายจีนโบราณ,นิยายรัก,ฮ่องเต้,ตลก,เบาสมอง,นิยายโรแมนติก,เหมยกว่าง",ชะตารัก จักรพรรดิจำแลง,https://www.readawrite.com/a/tz8jre,18747,,,,,,0.0,0.0,4.0,4.0,4.0,4.0,2.4,2.5,3.0,3.1,4.0,4.0
1481,ืืnoonoizee,นิยายรักจีนโบราณ,"2,039",นางในชาตินี้มียศเป็นถึงพระชายาแต่กลับต้องถูกหยามเกียรติถึงเพียงนี้ ชาติหน้า นางจะไม่คาดหวังความรักใด,3030.0,จบ,98.0,https://cdn.readawrite.com/articles/367/366355/thumbnail/small.gif,667.0,"นิยาย,นิยายจีน,นิยายจีนโบราณ,อ่านนิยาย,ชายาคนงามของท่านอ๋องจอมโหด,กวีบุ๊ค,อ่านนิยายออนไลน์",[นิยายแปล] ชายาคนงามของท่านอ๋องจอมโหด (สนพ.กวีบุ๊ค),https://www.readawrite.com/a/tz8j2a,779207,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
1482,ประทัดจีน,นิยายรักจีนโบราณ,15,ในความมืดมิด ข้าเพียงแต่คว้าแสงตรงหน้าเอาไว้ ไฉนข้าจึงตื่นมาในร่างผู้ชายเช่นนี้,77.0,จบ,11.0,https://cdn.readawrite.com/articles/369/368681/thumbnail/small.gif,11.0,"นิยายจีนโบราณ,นิยายรัก,นิยายโรแมนติก,ย้อนยุค,Boy Love/Yaoi,ประทัดจีน",สาวน้อยร้อยภรรยา(yaoi),https://www.readawrite.com/a/tz8kxq,4009,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
1483,Vanessa,นิยายรักจีนโบราณ,17,เมื่อสาวอาภัพรักอัญเชิญเทพมังกรวารีมาแบบไม่รู้ตัว เพื่อเอาชนะความอับโชค เธอจึงต้องกลับชาติย้อนเวลามา,79.0,จบ,9.0,https://cdn.readawrite.com/articles/354/353193/thumbnail/small.gif,9.0,"นิยายจีนโบราณ,นิยายรัก,นิยายโรแมนติก,ย้อนยุค,ทะลุมิติ,แก้แค้น,ดราม่า,เล่ห์เหลี่ยมกลโกง,ข้ามภพข้ามชาติ,วังหลวง,เทพเซียน",ย้อนอดีตกลับชาติมาตาย!,https://www.readawrite.com/a/tz88b8,7063,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
1484,Co à yon,นิยายรักจีนโบราณ,97,"ในยุคที่เต็มไปด้วย เทพ มาร และปีศาจ ยังมีหนึ่งนางปีศาจในนั้น ที่ชื่อว่า ""นางปีศาจโปโหลวเยี่ย"" เสียงเ",69.0,จบ,52.0,https://cdn.readawrite.com/articles/407/406414/thumbnail/small.gif,17.0,,นางปีศาจโปโหลวเยี่ย,https://www.readawrite.com/a/tz9gqt,7717,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,1.8,1.9,2.2,2.4,3.0,3.0
