,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag,countTweet,countAccountReview,countHashReview,ratingNoTweet_q,ratingHashReview_q,ratingLike_q,ratingView_q,ratingAdd2Fav_q,ratingWebsite,finalRating1,finalRating1_w,finalRating2,finalRating2_w,finalRating3,finalRating3_w
1322,modori_,วรรณกรรม/ดราม่า/เสียดสีสังคม,2,จบ,2.0,จบ,1.0,https://cdn.readawrite.com/articles/2029/2028720/thumbnail/small.gif,2.0,,end,https://www.readawrite.com/a/z1cb3f,221,,,,,,0.0,0.0,2.5,3.0,2.5,2.7,1.6,1.7,2.0,2.1,2.7,2.7
1323,2ndwinter,วรรณกรรม/ดราม่า/เสียดสีสังคม,6,มันสำคัญด้วยหรือไง ในเมื่อจุดจบของทุกคนไม่ต่างกัน,22.0,จบ,10.0,https://cdn.readawrite.com/articles/2031/2030289/thumbnail/small.gif,2.0,"slice of life,Boy Love/Yaoi,fictober,Fictober2020",Gone with the Wind | #สูญหายในสายลม,https://www.readawrite.com/a/z1ccd9,447,,สูญหายในสายลม,,,,0.0,0.0,2.5,4.0,5.0,3.8,2.3,2.5,2.9,3.1,3.8,3.9
1324,นาราวรรณ,วรรณกรรม/ดราม่า/เสียดสีสังคม,1,อลิสานักธุรกิจสาวผู้ประสบความสำเร็จมากความสามารถถูกรถชนตายวิญญาณไปอยู่ในร่างคุณแม่ลูกหนึ่งผู้มีสามีไ,2.0,จบ,2.0,https://cdn.readawrite.com/articles/2031/2030566/thumbnail/small.gif,1.0,"#ย้อนเวลา,แม่ลูกอ่อน,คุณแม่ลูกหนึ่ง,สามีไม่รัก",ตายแล้วไปอยู่ในร่างใคร,https://www.readawrite.com/a/z1ccl6,70,,,,,,0.0,0.0,1.25,2.0,2.5,1.9,1.2,1.2,1.4,1.5,1.9,2.0
1325,สายลมมิหวน,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,ความผิดของใคร: วรรณกรรม/ดราม่า/เสียดสีสังคม,0.0,จบ,1.0,https://cdn.readawrite.com/articles/2031/2030738/thumbnail/small.gif,0.0,,ความผิดของใคร,https://www.readawrite.com/a/z1ccq3,49,,,,,,0.0,0.0,1.25,1.0,1.25,1.2,1.0,1.0,1.0,1.0,1.2,1.2
1326,Moonscape,วรรณกรรม/ดราม่า/เสียดสีสังคม,"1,563",What if two stalkers fall in love with each other? ,2138.0,จบ,29.0,https://cdn.readawrite.com/articles/2031/2030115/thumbnail/small.gif,492.0,"slice of life,Romance,Boy Love/Yaoi,Horror,fictober,Fictober2020",Of Murder and the Muse,https://www.readawrite.com/a/z1cc8a,69700,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,3.0,3.2,3.8,3.9,5.0,5.0
1327,ภัคร์ภัสสร,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,(ทดลองอ่าน) รวมนิยายขนาดสั้น อ่านเพื่อความบันเทิง คลายเครียด ,0.0,จบ,3.0,https://cdn.readawrite.com/articles/2032/2031828/thumbnail/small.gif,0.0,,รวมเรื่องสั้น เล่ม 1,https://www.readawrite.com/a/z1cdm8,70,,,,,,0.0,0.0,1.25,2.0,1.25,1.5,1.0,1.0,1.1,1.2,1.5,1.5
1328,เจ้าหญิงบุภาราตรี,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,ตองตองหญิงผู้คลั่งไคล้สิ่งเหนือธรรมชาติโดยเฉพาะเรื่องพญานาควันหนึ่งที่ได้ไปทัศนศึกษาเมืองเก่าแห่งหนึ,1.0,จบ,1.0,https://cdn.readawrite.com/articles/2032/2031188/thumbnail/small.gif,0.0,,อดีตกาลที่โศกาเมื่อมันคืออดีตชาติของพญานาคที่อาพับ,https://www.readawrite.com/a/z1cd3x,152,,,,,,0.0,0.0,1.25,3.0,1.25,1.8,1.1,1.2,1.4,1.5,1.8,1.9
1329,ชฏาวี,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,(ทดลองอ่าน) คุยกับตัวเอง เป็นชุดหนังสือที่จะรวบรวมเรื่องราวต่างๆ ที่เกิดขึ้นในชีวิตหลายๆ ด้าน ซึ่งจะ,0.0,จบ,1.0,https://cdn.readawrite.com/articles/2034/2033332/thumbnail/small.gif,0.0,,คุยกับตัวเอง ตอน สร้างสุขทุกงาน,https://www.readawrite.com/a/z1ceu7,26,,,,,,0.0,0.0,1.25,1.0,1.25,1.2,1.0,1.0,1.0,1.0,1.2,1.2
1330,nux v.,วรรณกรรม/ดราม่า/เสียดสีสังคม,2,เกิดขึ้นและดับไปในชั่วขณะเดียวกัน | fictober 2020,3.0,จบ,4.0,https://cdn.readawrite.com/articles/2034/2033416/thumbnail/small.gif,2.0,"Fictober2020,เรื่องสั้น,ชีวิต",it happened and ended at the same time—,https://www.readawrite.com/a/z1cewl,179,,,,,,0.0,0.0,2.5,3.0,2.5,2.7,1.6,1.7,2.0,2.1,2.7,2.7
1331,M. River,วรรณกรรม/ดราม่า/เสียดสีสังคม,4,"Every now and then, we met. | #fictober20",5.0,จบ,5.0,https://cdn.readawrite.com/articles/2033/2032448/thumbnail/small.gif,2.0,"fictober20,everandanonmw,slice of life",Ever and anon,https://www.readawrite.com/a/z1ce4x,634,,,,,,0.0,0.0,2.5,4.0,3.75,3.4,2.0,2.2,2.6,2.7,3.4,3.5
1332,ginanis,วรรณกรรม/ดราม่า/เสียดสีสังคม,0,รวมเรื่องสั้นเกี่ยวกับผู้คนในหลากหลายเรื่องราว ,0.0,จบ,7.0,https://cdn.readawrite.com/articles/2033/2032482/thumbnail/small.gif,0.0,"สังคม,เสียดสี,ดราม่า,ชีวิต,เรื่องสั้น",631001631031*FicTober#2020,https://www.readawrite.com/a/z1ce5w,129,,,,,,0.0,0.0,1.25,2.0,1.25,1.5,1.0,1.0,1.1,1.2,1.5,1.5
1333,Hangtung,วรรณกรรม/ดราม่า/เสียดสีสังคม,7,วนเวียนเวียนวน เรื่องสั้นที่เป็นเรื่องยาว เนื้อหาต่อเนื่องแต่ไม่ผูกพัน อ่านแล้วเข้าใจแต่สับสน ยินดีต,23.0,จบ,4.0,https://cdn.readawrite.com/articles/2035/2034083/thumbnail/small.gif,4.0,"Fictober2020,สังคม,ชีวิต,นิยายโรแมนติก,ความรัก",ฝนเอยทำไมจึงตก,https://www.readawrite.com/a/z1cfgn,427,,,,,,0.0,0.0,3.75,4.0,5.0,4.2,2.6,2.7,3.2,3.4,4.2,4.3
