,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag
0,mplusss,นิยาย Boy Love Secret Room,"2,359",'เมื่อ 3P มาแบบ 4K พูดได้คำเดียวว่างานนี้ Full HD สุดๆ',"8,158",จบ,18.0,https://cdn.readawrite.com/articles/1944/1943683/thumbnail/,"1,051","เข้ามาลึกๆ,insert here,Boy Love/Yaoi,18+,20+,นิยายวาย,SM,นิยายโรแมนติก,3p,bdsm","#เข้ามาลึกๆ Side-XL(3P,BDSMบางตอน)","721,051",,เข้ามาลึกๆ
1,กลิ่นหอมกำจร,นิยาย Boy Love Secret Room,18,"""หลวงพี่จะสึกเมื่อไหร่ครับ"" จันทร์หอมเป็นเด็กเจนจัด ทว่าช่วงนี้ดวงตกบ่อยมากคุณแม่จึงพามาที่วัด ตั้งแ",78,จบ,1.0,https://cdn.readawrite.com/articles/1944/1943967/thumbnail/,9,"18+,Boy Love/Yaoi,นิยายวาย,บาปหนา",#คุณสงฆ์ขา,807,,คุณสงฆ์ขา
2,j\'li___.,นิยาย Boy Love Lovely Room,6,Shark#ฉลามอยากกินพืช: นิยาย Boy Love Lovely Room,13,จบ,2.0,https://cdn.readawrite.com/articles/1954/1953830/thumbnail/,4,,Shark#ฉลามอยากกินพืช,265,,ฉลามอยากกินพืช
3,Overrain,นิยาย Boy Love Lovely Room,"15,500",ความสัมพันธ์เพียงแค่คืนเดียว เปลี่ยนชีวิตของธีรัชไปตลอดกาล เขามีแค่ลูกก็พอแล้ว และลูกของเขาไม่จำเป็น,"32,697",จบ,48.0,https://cdn.readawrite.com/articles/1955/1954609/thumbnail/,"5,490","Boy Love/Yaoi,Mpreg,นิยายวาย,18+,นิยายวายฟีลกู๊ด,omegaverse",(Omegeverse) แด๊ดดี้คือสิ่งมีชีวิตที่ไม่จำเป็น(?) #แด๊ดดี้คลั่งรัก,"3,098,602",แด๊ดดี้คือสิ่งมีชีวิตที่ไม่จำเป็น,แด๊ดดี้คลั่งรัก
4,navybroccoli.,นิยาย Boy Love Lovely Room,32,คุณอยากมาดูอควาเรี่ยมตอนเที่ยงคืนมั้ย?,93,จบ,1.0,https://cdn.readawrite.com/articles/1957/1956824/thumbnail/,23,"Midnight aquarium,อควาเรี่ยมเที่ยงคืน,boyslove,Slow Burn,slice of life,first jobber",Midnight aquarium #อควาเรี่ยมเที่ยงคืน,"1,326",,อควาเรี่ยมเที่ยงคืน
5,Zoufflé-le,นิยาย Boy Love Secret Room,0,นิยายไม่สนุกแต่รับวาดรูปนะคะ ติดต่อได้สองเฟสทักแชทมาได้เยย(ช่วงนี้รับแต่ตัวละครผู้หญิงนะคะ) FB : Xe,1,จบ,2.0,https://cdn.readawrite.com/articles/1959/1958578/thumbnail/,0,,#อารัญกับหนาว,102,,อารัญกับหนาว
6,ppeachmm,นิยาย Boy Love Lovely Room,1,ไม่มีใครเป็นเจ้าของดวงอาทิตย์ได้ พระจันทร์ดวงน้อยๆ อย่างผมยังไม่อาจเอื้อมจะคว้าคุณมาไว้ในครอบครอง แม,2,จบ,0.0,https://cdn.readawrite.com/articles/1958/1957624/thumbnail/,1,"t e a r,TEAR,Yaoi",t e a r #จากดวงจันทร์ถึงดวงอาทิตย์,81,,จากดวงจันทร์ถึงดวงอาทิตย์
7,•3•,นิยาย Boy Love Lovely Room,2,หลังจากนางวันทองตาย ขุนช้างนั้นรู้สึกผิดมากเเละโทษตัวเองเสมอว่าถ้าเราไม่เเย่งนางมา นางคงไม่ตาย เเละ,9,จบ,2.0,https://cdn.readawrite.com/articles/1959/1958941/thumbnail/,2,"ขุนช้างขุนแผน,Boy Love/Yaoi,ระลึกชาติ",Sorry|ขอโทษ#ขุนช้างขุนเเผน,256,ขอโทษ,ขุนช้างขุนเเผน
8,cat_whisperer,นิยาย Boy Love Secret Room,77,นีพ เด็กรับใช้เผ่าหนูยักษ์ถูกส่งไปแต่งงานกับแมวป่าแทนคุณหนูตระกูลเสือสูงศักดิ์ คุณชายเมตตาเลี้ยงเขาไ,322,จบ,0.0,https://cdn.readawrite.com/articles/1961/1960070/thumbnail/,68,"สัตว์น้อยๆ,feel_good,นุ้บนิ้บ",ka\'apiûara #คาปิบาราของข้าเป็นยาชั้นดี (possibly MPREG),"2,828",,คาปิบาราของข้าเป็นยาชั้นดี
9,อ้วนน้อยร้อยลีลา,นิยาย Boy Love Lovely Room,2,รู้มั้ยว่าตายแล้วไปไหน? อยากรู้ว่าตายแล้วไปไหนก็ลองตายดูเองสิ,4,จบ,6.0,https://cdn.readawrite.com/articles/1961/1960335/thumbnail/,2,ตายแล้วไปไหน,#ตายแล้วไปไหน?,154,,ตายแล้วไปไหน
10,คูคิด,นิยาย Boy Love Lovely Room,249,"ถ้าคุณรักใครคนหนึ่งคุณจะทำยังไงให้เขามารักคุณ.... ""กูให้เบอร์สาวคนหนึ่งอ่ะ เห็นอย่างนี้กูมีเป็น 10 น",264,จบ,18.0,https://cdn.readawrite.com/articles/1962/1961726/thumbnail/,53,"นิยายวาย,Boy Love/Yaoi,18+,นิยายรัก,มหาวิทยาลัย,วิศวะ,นิยายวัยรุ่น,รุ่นพี่,คุณครู",#STin แผนลวง(ให้)รัก,"24,983",,แผนลวง
11,ก้อนน้ำแข็ง,นิยาย Boy Love Lovely Room,0,ก็แค่เมฆก้อนเล็กๆก้อนหนึ่ง ทำไมท้องฟ้าถึงได้ใจร้ายกับเขาจัง. #ก้อนเอ๋ยก้อนเมฆ,1,จบ,1.0,https://cdn.readawrite.com/articles/1964/1963207/thumbnail/,0,"Boy Love/Yaoi,นิยายวาย,นิยายรัก,ดราม่า,นิยายแฟนตาซี,ก้อนเมฆก้อนหนึ่ง,Storyofท้องนภา",Story of ท้องนภา เรื่องของเมฆก้อนหนึ่ง #ก้อนเอ๋ยก้อนเมฆ,35,ท้องนภาเรื่องของเมฆก้อนหนึ่ง,ก้อนเอ๋ยก้อนเมฆ
12,แพนด้าน้อย,นิยาย Boy Love Lovely Room,5,"""เมื่อเด็กมอปลายอย่างผมเผลอไปชอบเพื่อนสนิทของพี่สาว""",15,จบ,5.0,https://cdn.readawrite.com/articles/1964/1963421/thumbnail/,4,"Boy Love/Yaoi,นิยายวาย,นิยายรัก,นิยายโรแมนติก,18+",The chord of love #คีย์รัก,939,,คีย์รัก
13,อัญมณีสีน้ำเงิน (Dai),นิยาย Boy Love Secret Room,304,"""แฮมจะยั่ว ยั่ว ยั่ว ยั่วจนกว่าพี่ใหญ่จะสนใจ""","1,733",จบ,2.0,https://cdn.readawrite.com/articles/1964/1963548/thumbnail/,186,"18+,Boy Love/Yaoi,นิยายรัก,นิยายวาย",#พี่ใหญ่ของหนู,"36,470",,พี่ใหญ่ของหนู
14,ccy_pp,นิยาย Boy Love Lovely Room,13,เปิดเพราะไม่รู้จะลงไว้ที่ไหน ประกอบด้วยเรือผีและอีหลากหลายเท่าที่ใจอยากเขียน ฮือ,14,จบ,1.0,https://cdn.readawrite.com/articles/1964/1963632/thumbnail/,7,,#หม้อต้มจับฉ่ายของป่านเองห้ามแย่ง,378,,หม้อต้มจับฉ่ายของป่านเองห้ามแย่ง
15,ข้ามตะวัน,นิยาย Boy Love Lovely Room,35,"""มึงคงไม่รู้ว่า สิงโตตัวเมียไม่ได้มีหน้าที่ล่า แต่มีหน้าที่อยู่ใต้อาณัติ"" -เหนือพิภพ-",126,จบ,28.0,https://cdn.readawrite.com/articles/1964/1963887/thumbnail/,16,"นิยายวาย,วิศวะ,รัฐศาสตร์,เกียร์,สิงห์,หลงเมีย,engineer",Wife\'s engineering ผมนี่แหละเมียวิศวะ #เกียร์พันสิงห์,"7,736",ผมนี่แหละเมียวิศวะ,เกียร์พันสิงห์
16,Sarin-N,นิยาย Boy Love Lovely Room,0,"""มึงชอบน้องกูใช่ไหม ตอบ!!"" ""ป่าว"" ""มึงอย่ามาตอ ไอสัสก็เห็นเห็นอยู่ว่ามึงมองน้องกู"" ""เลิกโง่ได้และ...",1,จบ,1.0,https://cdn.readawrite.com/articles/1966/1965742/thumbnail/,0,,#You are mine คุณเป็นของผม,49,,คุณเป็นของผม
17,นะมะนะนพ,นิยาย Boy Love Lovely Room,0,""" พี่โฉโกนหนวดได้มั้ยมันทิ่มป๋าย ป๋ายขนลุก """,3,จบ,0.0,https://cdn.readawrite.com/articles/1968/1967883/thumbnail/,0,บิ๊กโฉคนโฉด,#บิ๊กโฉคนโฉด,13,,บิ๊กโฉคนโฉด
18,092-20-4_5,นิยาย Boy Love Lovely Room,2,"#ปะรินทาคนคลั่งรัก ""ไอ้ปริณทรานี่ใครวะ​ ได้ข่าวว่าหล่อ​ แค่ไหนวะ"" ""หล่อมาก​ แต่ปริณทราคือปินที่เป็นค",10,จบ,0.0,https://cdn.readawrite.com/articles/1969/1968390/thumbnail/,1,"Boy Love/Yaoi,ืน่ารัก,feelgood,คลั่งรัก,ปะรินทาคนคลั่งรัก",P N F O​ \' #ปะรินทาคนคลั่งรัก,104,,ปะรินทาคนคลั่งรัก
19,mauve,นิยาย Boy Love Lovely Room,0,sung's #ของซุง: นิยาย Boy Love Lovely Room,0,จบ,0.0,https://cdn.readawrite.com/articles/1970/1969147/thumbnail/,0,"นิยายรัก,นิยายวาย,นิยายวัยรุ่น,Yoai,Boy Love/Yaoi,Boy love / Yaoi / ชายรักชาย",sung\'s #ของซุง,32,,ของซุง
20,มอคค่าปั่นใส่วิป,นิยาย Boy Love Lovely Room,65,พี่เค้าเป็นอัลฟ่าพ่อเลี้ยงเดี่ยว,204,จบ,12.0,https://cdn.readawrite.com/articles/1971/1970677/thumbnail/,12,"ครอบครัว,ความรัก,นิยายวาย,Boy Love/Yaoi,omegaverse,หมอ,Mpreg,โอเมกาเวิร์ส,โอเมก้าเจล,นิยายฟีลกู้ด,#นิยาย​วาย​ #feelgood #boylove #yaoi,#feelgood,เด็ก",[Omegaverse] Your smell is mine #โอเมก้าเจล,"5,777",,โอเมก้าเจล
21,มนริต้า,นิยาย Boy Love Lovely Room,47,ความรักในวันวาน สดใสดังฤดูร้อน แต่เมื่อต่างคนต่างแยกจากกลายเป็นเส้นขนานที่ไม่มีวันบรรจบ ยามเมื่อกลับ,291,จบ,0.0,https://cdn.readawrite.com/articles/1971/1970727/thumbnail/,39,"Boy Love/Yaoi,นิยายวาย,18+,นิยายโรแมนติก,เมะเด็ก,แฟนเก่า,เรื่องสั้นขนาดยาว",Goodbye Summer #เป็นดังฤดูร้อนในปีนั้น,"1,493",,เป็นดังฤดูร้อนในปีนั้น
22,anpanmangotme,นิยาย Boy Love Lovely Room,203,ถ้าไม่ตรงสเปคซะแล้ว จะเลื่อนเป็นคนรักไม่ได้จริง ๆ น่ะเหรอ,227,จบ,6.0,https://cdn.readawrite.com/articles/1930/1929883/thumbnail/,95,"BTS,namjin,นัมจิน,gav,ก้าวี,Kookmin,กุกมิน",#เชฟนะเป็นชู้ • namjin •,"6,102",,เชฟนะเป็นชู้
