,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag
0,NaphasZA,ชุมชนคนขี้ชิป,16,NC+ นิยายเรื่องนี้มีNCนะ!! คนของมึงน่ะ ถ้ามึงดูแลไม่ได้เนี่ย.. . เดี๋ยวกูดูแลให้เอง .,33,จบ,2.0,https://cdn.readawrite.com/articles/1943/1942254/thumbnail/,12,"บุ๋นเปรม,กองกำลังบุ๋นเปรม,นิยายวาย",ถ้ามึงดูแลคนของมึงไม่ได้กูก็จะดูแลเอง #คุณสามีที่รัก #บุ๋นเปรม,"15,953",ถ้ามึงดูแลคนของมึงไม่ได้กูก็จะดูแลเอง,คุณสามีที่รัก
1,09.10シ,ป่าเวทมนตร์,76,รักก็พัง กระเป๋าตังก็แบน ชีวิตผมนี่มันเฮงซวยจริงๆ ว่าแต่เอ้ะ นายเป็นใครเนี่ยย,141,จบ,3.0,https://cdn.readawrite.com/articles/1943/1942466/thumbnail/,47,"#Jikook,แฟนผมเป็นแงว",kiss cat #แฟนผมเป็นแงว |;jikook,"106,983",,แฟนผมเป็นแงว
2,อลิซ,ห้องแห่งความรัก,7,รักของชายเจ้าชู้#ลิสกุก,11,จบ,8.0,https://cdn.readawrite.com/articles/1942/1941738/thumbnail/,4,นิยายรักวัยว้าวุ่น  (18+),รักนะยัยมาเฟีย #กุกลิส,"12,492",รักนะยัยมาเฟีย,กุกลิส
3,Y_E_L_L_O_W,แฟนฟิคชั่น,18,เขาแค่เดินกลับบ้านหลังจากเลิกงานเหมือนทุกๆวัน แต่วันนี้มันทำให้การเดินกลับบ้านของเขาเปลี่ยนไปเพราะผี,32,จบ,3.0,https://cdn.readawrite.com/articles/1942/1941794/thumbnail/,14,,#Haikyuu|ทางกลับบ้าน(Tsukiyama),698,,ทางกลับบ้าน
4,minghwaKT,แฟนฟิคชั่น,43,โชคชะตา คำทำนาย หรือหัวใจ?,36,จบ,15.0,https://cdn.readawrite.com/articles/1942/1941917/thumbnail/,12,"jackjae,กับดักรักแจ็คแจ,แจ็คแจ,Got7,กับดักรักดวงดาว,ฟิคแจ็คแจ,ficjackjae",[fic jackjae] Trap love of star กับดักรักดวงดาว | #กับดักรักแจ็คแจ,"1,805",กับดักรักดวงดาว,กับดักรักแจ็คแจ
5,นายบันซ์อยากเกิดเป็นเนื้อ,ชุมชนคนขี้ชิป,33,"""พี่จะรู้มั้ยว่าผมคลั่งรักพี่ขนาดไหน"" ( Trey X Jade)(AU Thai + วัยทำงาน) (มีการOCC และใช้คำหยาบเพื่อ",107,จบ,2.0,https://cdn.readawrite.com/articles/1944/1943200/thumbnail/,29,"Trey x Jade,twst,TWSTFanficTH,TwstTH,twisted wonderland",[TWST/FANFIC]#บางทีใจเราอาจจะตรงกัน?,"67,736",,บางทีใจเราอาจจะตรงกัน
6,lalem!,ลิปสติกสีลิลลี่,0,ขอเลื่อนจากเพื่อนไปเป็นแฟนได้ป่ะ-เมย์,1,จบ,1.0,https://cdn.readawrite.com/articles/1944/1943288/thumbnail/,0,"lalemi,lalem!,friend,เมย์มิน","\""FRIEND\"" #เมย์มิน",6,,เมย์มิน
7,เเมวบ้าดมกาว,แฟ้มคดีสีเลือด,40,รอยยิ้มจอมปลอม...กับตัวตนปลอมๆที่ผมสร้างขึ้น...ผมอยากให้ใครสักคน...รู้ถึงตัวตนจริงๆของผมบ้าง...?,65,จบ,8.0,https://cdn.readawrite.com/articles/1944/1943328/thumbnail/,22,"twst,TWSTFanficTH,ดอกลิลลี่ที่ถูกย้อมสี",Twst:#ดอกลิลลี่ที่ถูกย้อมสี ,"99,764",,ดอกลิลลี่ที่ถูกย้อมสี
8,Night-night,วายสเตชั่น,3,"""น้องเรนทำไมเหมือนเพื่อนเราจังเลยวะ""",27,จบ,2.0,https://cdn.readawrite.com/articles/1944/1943497/thumbnail/,3,"แอคเค่อ,แอคลั่น,น้องเรนแอคลั่น,#เนียลอง,เนียลอง,Neilong",#น้องเรนแอคลั่น,"9,270",,น้องเรนแอคลั่น
9,พารากิมมมมมม,ชุมชนคนขี้ชิป,1,-มึงซื้อคุกกี้มาจากร้านไหนวะ -ร้านพี่เเจมหน้ามอ #คาเฟ่มม,9,จบ,4.0,https://cdn.readawrite.com/articles/1944/1943489/thumbnail/,1,"Markmin,NCT,มาร์คมิน,ค่าเฟ่มม",カフェ🍫#คาเฟ่มม,"2,309",,คาเฟ่มม
10,naniii!!,นิยาย Girl Love/ Yuri,11,เมื่อคืนคุณมิ้นเป็นพี่สาวเเซ่บ เช้านี้คุณมิ้นเป็นพี่สาวเพื่อน,38,จบ,1.0,https://cdn.readawrite.com/articles/1944/1943626/thumbnail/,8,"wheesun,wheein,solar",#คุณมิ้นเป็นพี่สาวเพื่อน,582,,คุณมิ้นเป็นพี่สาวเพื่อน
11,mplusss,นิยาย Boy Love Secret Room,"2,359",'เมื่อ 3P มาแบบ 4K พูดได้คำเดียวว่างานนี้ Full HD สุดๆ',"8,158",จบ,18.0,https://cdn.readawrite.com/articles/1944/1943683/thumbnail/,"1,051","เข้ามาลึกๆ,insert here,Boy Love/Yaoi,18+,20+,นิยายวาย,SM,นิยายโรแมนติก,3p,bdsm","#เข้ามาลึกๆ Side-XL(3P,BDSMบางตอน)","721,051",,เข้ามาลึกๆ
12,ที่สอง,ลิปสติกสีลิลลี่,251,' เราบอกเธอแล้วใช่มั้ย ว่าอย่ารักคนที่เป็นไปไม่ได้ ',478,จบ,12.0,https://cdn.readawrite.com/articles/1944/1943801/thumbnail/,117,"คริสรีน,เจทิ,JETI",#ก็แคร์นี่ไง,"1,754,019",,ก็แคร์นี่ไง
13,ตัวแทนแห่งดวงจันทร์,ชุมชนคนขี้ชิป,14,"หายแล้วหายไปเลย // au:ไทย,มีคำหยาบ,เบาสมอง",62,จบ,3.0,https://cdn.readawrite.com/articles/1944/1943848/thumbnail/,7,"SakuAtsu,Haikyuu",อภิมหาลรองเท้าหาย |#รองเท้าสื่อรักของเราจ๊องคน,"33,481",อภิมหาลรองเท้าหาย,รองเท้าสื่อรักของเราจ๊องคน
14,ภมีร,ชุมชนคนขี้ชิป,41,ปี๊บ ปี๊บ น้องอาร์คค้าบ ให้พี่เบ๊บไปส่งมั้ย,145,จบ,8.0,https://cdn.readawrite.com/articles/1944/1943915/thumbnail/,23,"BokuAka,โบคุอาคา,oilwa,โออิอิวะ,KageHina,คาเงะฮินะ,levyaku,เลฟยาคุ,KuroTsuki,คุโรสึกกี้,Haikyuu,ไฮคิว",#พี่เบ๊บจะไปส่งมั้ย (bokuaka),"182,477",,พี่เบ๊บจะไปส่งมั้ย
15,กลิ่นหอมกำจร,นิยาย Boy Love Secret Room,18,"""หลวงพี่จะสึกเมื่อไหร่ครับ"" จันทร์หอมเป็นเด็กเจนจัด ทว่าช่วงนี้ดวงตกบ่อยมากคุณแม่จึงพามาที่วัด ตั้งแ",78,จบ,1.0,https://cdn.readawrite.com/articles/1944/1943967/thumbnail/,9,"18+,Boy Love/Yaoi,นิยายวาย,บาปหนา",#คุณสงฆ์ขา,807,,คุณสงฆ์ขา
16,charlotte,ชุมชนคนขี้ชิป,151,แอบแซ่บเลิกได้เลิก เลิกไม่ได้ก็ทักมา,131,จบ,14.0,https://cdn.readawrite.com/articles/1943/1942906/thumbnail/,52,"ToG,BamKhun,พัมคูน,tower of god",#แอบแซ่บนะเก๋า,"538,922",,แอบแซ่บนะเก๋า
17,橙子Chéngzi,คืนฟ้าหม่น,8,[[สนองneedตัวเองโดยเฉพาะ]]​ !! คำเตือน!! นิยายเรื่องนี้เนื้อหาค่อนข้างละเอียดอ่อนมาก​ ใครรับไม่ได้กด,10,จบ,2.0,https://cdn.readawrite.com/articles/1943/1942910/thumbnail/,2,"เซียงเฉิง,ซินซิง,เฉาจุนเซียง,กัวเฉิง,ซีเผยซิน,เจิ้งฝานซิง","“ปีกสีแดง\""||Butterfly Red​#เซียงเฉิง","6,094",ปีกสีแดง,เซียงเฉิง
18,I need a dark room.,ลิปสติกสีลิลลี่,536,ยัายไปสาขาไหนก็ได้ แต่ไม่เอาในโรงพยาบาล,"1,149",จบ,9.0,https://cdn.readawrite.com/articles/1945/1944652/thumbnail/,287,"Seulrene,reneseul,RED VELVET",#ปิดตีสอง #Seulrene,"2,824,887",,ปิดตีสอง
19,โฮก,ชุมชนคนขี้ชิป,22,“ เห้ย ทำไมกูเห็นน้องจ๊ะจ๋า 3 คนวะ “,98,จบ,2.0,https://cdn.readawrite.com/articles/1946/1945033/thumbnail/,14,"Haikyuu,ไฮคิว,UshiHina,oihina,BokuAka,atsuhina,KuroTsuki,มึงหมายถึงน้องจ๊ะไหน",#มึงหมายถึงน้องจ๊ะไหน | Haikyuu,"92,587",,มึงหมายถึงน้องจ๊ะไหน
20,pacheein,ชุมชนคนขี้ชิป,18,คุณชอบวาดรูป ส่วนผมชอบคุณ #จูเคฟ,25,จบ,2.0,https://cdn.readawrite.com/articles/1945/1944209/thumbnail/,9,"theboyz,jukev,จูเคฟ",i like u #จูเคฟ,"3,712",,จูเคฟ
21,black KT,นิยาย Girl Love/ Yuri,30,แค่คุณมาตลอด #กิ่งใบหยก: นิยาย Girl Love/ Yuri,70,จบ,5.0,https://cdn.readawrite.com/articles/1945/1944373/thumbnail/,10,"Seulrene,Seulgi,IRENE,RedVelvet,rvv,Girl Love/Yuri,หญิงรักหญิง,นิยายโรแมนติก",แค่คุณมาตลอด #กิ่งใบหยก,"2,253",แค่คุณมาตลอด,กิ่งใบหยก
22,paleyellow,ชุมชนคนขี้ชิป,3,บ๊วยโซดาจะไปดีเท่าอเมริกาโน่ได้ยังไง,8,จบ,2.0,https://cdn.readawrite.com/articles/1945/1944385/thumbnail/,1,"บยองซึง,byungseung,victon,แมสไหม,ต้องแมสแล้วไหม,หวานใสหวานกรุบค่ะ,แต่ไม่ใช่ตอนต้นเรื่อง,ft. chohan",It’s okay to be with you | #บยองซึง,"5,873",,บยองซึง
23,X.CIII.X.CVII​,คืนฟ้าหม่น,0,พี่ชาย​♡​#มาร์ค​แบ​ม​: คืนฟ้าหม่น,0,จบ,1.0,https://cdn.readawrite.com/articles/1945/1944414/thumbnail/,0,"Got7,mt,JB,js,jy,Yj,bb,YG,๋๋JJ,MB",พี่ชาย​♡​#มาร์ค​แบ​ม​,11,พี่ชาย,มาร์ค
24,สำมะปี๋ปลาหมึก,ชุมชนคนขี้ชิป,22,"""โต๊ะกู...ใครอย่าเเตะ""",15,จบ,11.0,https://cdn.readawrite.com/articles/1946/1945803/thumbnail/,5,"morim,CRAVITY,คลังฟิคcravity,คราวิตี้,โมริม,Boy love / Yaoi / ชายรักชาย,แอลบิน",#จองซุงไว้ก่อน,"23,636",,จองซุงไว้ก่อน
25,KristPsm,ชุมชนคนขี้ชิป,2,พิ้ไม้ใจล้ายทิสุดเลย ー yoongi fem คู่นึง | jimin สองโพ (2 คู่),15,จบ,4.0,https://cdn.readawrite.com/articles/1946/1945796/thumbnail/,2,"taegi,kookga,Minga,Allga,monmin,BTS",#มมมออลก้า,"24,944",,มมมออลก้า
26,JBR🌼,ชุมชนคนขี้ชิป,21,I'm gonna love you,41,จบ,6.0,https://cdn.readawrite.com/articles/1946/1945894/thumbnail/,11,"nomin,โน่มิน,NCT",#ดาวอย่าดื้อ | nomin,"45,116",,ดาวอย่าดื้อ
27,Mr.Mooney,วายสเตชั่น,"2,187",นายเป็นเมีย เป็นแม่ของลูก // แต่คุณเป็นคนจับผมโยนออกมา,"2,892",จบ,22.0,https://cdn.readawrite.com/articles/1947/1946224/thumbnail/,495,"ป๋อจ้านฟิค,ฟิคป๋อจ้าน,นิยายวาย,นิยายโรมานซ์,นิยายรัก",(MPREG)#รังบุหรง,"36,650,370",,รังบุหรง
28,dldmswo109,ชุมชนคนขี้ชิป,57,เขาบอกว่าถ้ามีความรักจะทำให้โลกเป็นสีชมพู Ref.​ Colors - Stella Jung,75,จบ,10.0,https://cdn.readawrite.com/articles/1947/1946230/thumbnail/,13,"XiaoTen,#WAYV,NCT,henyang",Colors | XiaoTen​ vol.1 #ผืนน้ำ,"128,169",,ผืนน้ำ
29,Miss B,แฟนฟิคชั่น,77,#เจเจมส์ทาส ยกบ้านมาจากจลด มีการรีไรท์งับ ♥️,126,จบ,5.0,https://cdn.readawrite.com/articles/1947/1946287/thumbnail/,45,"#เจเจมส์,เจเจมส์,อินเจเจมส์,เจเจม,เจเจมส์ทาส",#เจเจมส์ทาส | a slave,"1,865",,เจเจมส์ทาส
30,76june,ชุมชนคนขี้ชิป,0,Although it appears that I'm strong,1,จบ,1.0,https://cdn.readawrite.com/articles/1947/1946501/thumbnail/,0,"จินจ๋า,#chanbaek",#จินจ๋า 一chanbaek,544,,จินจ๋า
31,LiLoTa,ชุมชนคนขี้ชิป,10,โดยองหล่อมากบาดาบิงบาดาบุงบุงบุง — แต้มรัก *Mpreg,18,จบ,5.0,https://cdn.readawrite.com/articles/1946/1945631/thumbnail/,5,"#doten,บาดาบิงบาดุบุงบุงบุง,doten,Mpreg",#บาดาบิงบาดาบุงบุงบุง | doten,"13,326",,บาดาบิงบาดาบุงบุงบุง
32,swb1427,ชุมชนคนขี้ชิป,5,ตามใจมันช้า เข้าใจมันหน่อย,28,จบ,1.0,https://cdn.readawrite.com/articles/1948/1947293/thumbnail/,2,#jaeten,#ก็ตามใจ (jaeten),"4,410",,ก็ตามใจ
33,WENRENE THAILAND,ลิปสติกสีลิลลี่,29,Keyword: ที่ปรึกษา by makii,112,จบ,1.0,https://cdn.readawrite.com/articles/1948/1947483/thumbnail/,26,,#ม่อนเป็นปลา | Wenrene,"42,731",,ม่อนเป็นปลา
34,เหม่ยฮวา 梅花,นิยายรักจีนโบราณ,0,ทำดีมาตลอดมิมีผู้ใดเห็น ล่มหนเดียวกับช่วยกันใส่ไฟ ถ้าข้าจะมิสนใจแล้วใครจะว่าข้าได้ -??,5,จบ,1.0,https://cdn.readawrite.com/articles/1948/1947671/thumbnail/,0,"ป๋อจ้าน,ปรมาจารย์ลัทธิมาร,Boy love / Yaoi / ชายรักชาย,นิยายจีนโบราณ,กำลังภายใน",จันทรารักไร้เสียง #จทรรส,77,จันทรารักไร้เสียง,จทรรส
35,ppcymoonn,ชุมชนคนขี้ชิป,26,K : บอกว่าชื่อกานดา ไม่ได้ชื่อที่รัก ! O : เรียกกานดาไม่ถนัด เรียกที่รักได้รึเปล่าล่ะ ความหมายเดียวก,100,จบ,3.0,https://cdn.readawrite.com/articles/1947/1946682/thumbnail/,17,"JETI,jetifiction,jeti SNSD,Jessica,Tiffany,เจทิมาแน่มาแน่เจทิ,#เจทิ",กานดาที่รัก #JETI #อยากจะได้คนนี้เป็นแฟนเจทิ,"55,507",กานดาที่รัก,อยากจะได้คนนี้เป็นแฟนเจทิ
36,รักพี่โปลกว่าใคร,ชุมชนคนขี้ชิป,12,นอกจากกาวไปวันๆก็ไม่มีอะไรเลย oocเยอะมากโปรดระวัง,11,จบ,2.0,https://cdn.readawrite.com/articles/1949/1948353/thumbnail/,7,"โจนาดีโอ,โจนาดิโอ,JJBA",JJBA #ไม่ชอบโจนาธาน,"2,915",,ไม่ชอบโจนาธาน
37,belawongg,ชุมชนคนขี้ชิป,16,For #OiSugaweeklyTH #สัปดาห์ของมหาราชาและคุณยิ้มหวาน จะพยายามเล่นให้ครบทุกวีคนะคะ,42,จบ,2.0,https://cdn.readawrite.com/articles/1949/1948744/thumbnail/,11,"oisuga,oisugaweekly,oikawa tooru,sugawara koushi,Haikyuu!!,Haikyuu,Haikyuu ไฮคิว,Haikyuufanfic,ไฮคิว,ไฮคิวคู่ตบฟ้าประทาน,โออิสึกะ,โออิคาวะ,สึกะวาระ",#คลังขนมหวานโออิสึกะ,"133,737",,คลังขนมหวานโออิสึกะ
38,FunnySunnyday_,แฟนฟิคชั่น,7,ความรักของเราไม่อาจมาบรรจบกันได้ หากเลือกที่จะรักนายเองก็ต้องยอมรับที่จะสูญเสีย,12,จบ,1.0,https://cdn.readawrite.com/articles/1949/1948753/thumbnail/,6,"ทากะซึระ,กินซึระ,TakaZura,ginzura,Gintama,กินทามะ,กินโทกิ,ทากาสุกิ,คาซึระ,ซึระ,Fanfiction แฟนฟิคชั่น,บทรัก,บทรักทากะซึระ,gintoki,katsura,takasugi",#บทรักทากะซึระ #gintama,412,,บทรักทากะซึระ
39,วิถีสาววาย ผู้ชายต้องได้กัน,วายสเตชั่น,142,แค่อยากให้พี่สนใจผมบ้าง...,76,จบ,39.0,https://cdn.readawrite.com/articles/1949/1948787/thumbnail/,26,"ซาเนเก็น,ดาบพิฆาตอสูร,ดราม่า,ดราม่านิดๆมั้ง",แค่อยากให้พี่สนใจผมบ้าง#ซาเนเก็น,"209,962",แค่อยากให้พี่สนใจผมบ้าง,ซาเนเก็น
40,shiphika,ชุมชนคนขี้ชิป,2,ไปเป็นเพื่อนกับขี้นะไอ้แจน กูจีบจนเหนื่อยแล้ว ft.taejae,10,จบ,2.0,https://cdn.readawrite.com/articles/1949/1948867/thumbnail/,2,"เพื่อนกันฉันรักแจน,จอนแจ,JOHNJAE,taejae",#เพื่อนกันฉันรักแจน — johnjae,"4,117",,เพื่อนกันฉันรักแจน
41,taiyofordosei,ชุมชนคนขี้ชิป,32,อย่างกูเขาเรียกเขตปกครองแบบพิเศษ,41,จบ,3.0,https://cdn.readawrite.com/articles/1948/1947779/thumbnail/,15,"yeontae,ยอนแทน,เชนโซน",#เชนโซน (yeontae),"58,120",,เชนโซน
42,madunwhan,ชุมชนคนขี้ชิป,21,พอดีผมเก็บบัตรคุณได้ครับ — pwp,53,จบ,5.0,https://cdn.readawrite.com/articles/1948/1947948/thumbnail/,17,"BSD,bungo stray dogs,akudazai,Atsudazai",#บัตรหาย — [BSD],"40,542",,บัตรหาย
43,Gimpozeus,ชุมชนคนขี้ชิป,1,“เห้ย คนไหนวะ เพียวเครื่องกล”,20,จบ,0.0,https://cdn.readawrite.com/articles/1949/1948039/thumbnail/,1,"เพียวเครื่องกล,Jungwoo,NCT,dojung,jaejung,lujung,YuJung,JohnJung",#เพียวเครื่องกล,0,,เพียวเครื่องกล
44,Whentheskyloved,แฟนฟิคชั่น,65,หิวอะ หาไรกินกัน,160,จบ,1.0,https://cdn.readawrite.com/articles/1949/1948079/thumbnail/,55,ตามไปกิน,#ตามไปกิน,"1,902",,ตามไปกิน
45,tothejae.,ชุมชนคนขี้ชิป,0,find me if you wanna get ur boy back —— said him.,6,จบ,2.0,https://cdn.readawrite.com/articles/1950/1949594/thumbnail/,0,"NCT,JaeDo,Johnil,noren,Markmin,markhyuck,lujung,sungle,nctdream,nct127,wayv,Henjun,kunyang",the founder | nct #ต๊ะเอ๋nct,"3,803",,ต๊ะเอ๋
46,Clover_On_The_Moon,แฟนฟิคชั่น,7,เพราะกลิ่นของเขา นำพาให้มาพบเจอกับคนใจร้ายที่พร้อมจะใช้ทุกเลห์กลที่มีกักขังเขาไว้ด้วยกรงแห่งรัก,21,จบ,3.0,https://cdn.readawrite.com/articles/1950/1949771/thumbnail/,3,"victon,อูชิก,ซึงอู,ฮันซึงอู,คังซึงชิก,ซึงชิก,กรงกลิ่นรัก",กรงกลิ่นรัก #กรงกลิ่นรัก #อูชิก,573,กรงกลิ่นรัก,กรงกลิ่นรัก
47,G.well,ชุมชนคนขี้ชิป,160,ถ้าพวกมึงใช้สมองใคร่ครวญดูซักนิด จะสำเหนียกได้ว่า กูกับชวัลไม่ชอบกัน!!!,334,จบ,4.0,https://cdn.readawrite.com/articles/1951/1950115/thumbnail/,80,"HIKYUU,UshiOi,อุชิโออิ",#วาฬนึ่งซีอิ๊ว | UshiOi,"390,544",,วาฬนึ่งซีอิ๊ว
48,เห้ยเตงง มันก็ดีนะ😏,ชุมชนคนขี้ชิป,34,ข่อยคึมักเขาแท้ล่ะสู ⚠️Warning >OOC หยาบ< #ผู้บ่าวซอ,92,จบ,3.0,https://cdn.readawrite.com/articles/1950/1949160/thumbnail/,24,"Haikyuu!!,SakuAtsu,ซาคุอัตสึ,sunaosa,สึนะโอซา,ผู้บ่าวซอ",#ผู้บ่าวซอ | ซาคุอัตสึ,"71,249",,ผู้บ่าวซอ
49,chankizo,แฟนฟิคชั่น,0,[ Kimetsu no yaiba] #คลังของkizo: แฟนฟิคชั่น,2,จบ,0.0,https://cdn.readawrite.com/articles/1950/1949173/thumbnail/,0,,[ Kimetsu no yaiba] #คลังของkizo,21,,คลังของ
50,@txesxng,ชุมชนคนขี้ชิป,0,ชอบก็คือชอบไงทำไมต้องมีเหตุผลด้วย —(kookv),2,จบ,1.0,https://cdn.readawrite.com/articles/1950/1949289/thumbnail/,0,"kookv,พี่เจมส์",#ชอบเเทนใจ,313,,ชอบเเทนใจ
51,Lunetta,ลิปสติกสีลิลลี่,9,"""พี่คะ หนูขอดูพี่ซ้อมร้องเพลงทุกวันได้ไหมคะ""",48,จบ,19.0,https://cdn.readawrite.com/articles/1951/1950604/thumbnail/,7,"annyeongz,yujin x wonyong,อันยองจึ,ยูจินวอนยอง,มิ้นแชว,เยนยูล,สาอี้",#พี่คะ — Annyeongz,"88,875",,พี่คะ
52,ผัดพริกแกง,นิยายโรมานซ์,29,ฉันไม่อยากเชื่อเลย...ว่าฉันเพิ่งจะอึ๊บกับหนุ่มที่ฮอตที่สุดในโรงเรียน !!!,78,จบ,22.0,https://cdn.readawrite.com/articles/1951/1950289/thumbnail/,16,"Erotic,18+,อีโรติก / erotic,นิยายโรมานซ์,นิยายรัก,อีโรติก,น่ารัก,มัธยมปลาย,นิยายวัยรุ่น,นิยายรักวัยรุ่น,วัยว้าวุ่น",#SAVEเมีย | ซีรี่ย์ วุ่นรักมัธยมปลาย,"6,511",,เมีย
53,Morelove,ชุมชนคนขี้ชิป,49,พวกมึง...เวลา 1 เดือน กูจะไปหาผัวจากไหนวะ,208,จบ,1.0,https://cdn.readawrite.com/articles/1951/1950463/thumbnail/,32,"นยอนแจน,มินฮวาน,องฮวาน,เนียลฮวาน,รักนี้ฉุกเฉิน,emergencycouple",Emergency couple #รักนี้ฉุกเฉิน,"42,577",,รักนี้ฉุกเฉิน
54,Aprilsunflow,ชุมชนคนขี้ชิป,11,เก็บเธอไว้..ในหน้าหนังสือ,17,จบ,10.0,https://cdn.readawrite.com/articles/1953/1952288/thumbnail/,5,"#NCT,#yuwin,#Yuta,#Winwin",ในหนังสือ #นนสNCT,"13,417",ในหนังสือ,นนส
55,kamolrosir,ชุมชนคนขี้ชิป,2,Don't be afraid baby,27,จบ,1.0,https://cdn.readawrite.com/articles/1953/1952455/thumbnail/,2,"#johnjae,หวานใจชิคาโก",#หวานใจชิคาโก | Johnjae,"16,286",,หวานใจชิคาโก
56,คนสติไม่มี,ชุมชนคนขี้ชิป,3,มึงเด็กญี่ปุ่นโครตน่ารัก,8,จบ,2.0,https://cdn.readawrite.com/articles/1953/1952575/thumbnail/,2,โยชิซอก,cute #โยชิซอก,"11,597",,โยชิซอก
57,#แก๊บซองงงง,ชุมชนคนขี้ชิป,60,ที่บอกว่ารักไม่ได้..ที่จริงเธอไม่ได้รัก..,57,จบ,10.0,https://cdn.readawrite.com/articles/1954/1953608/thumbnail/,16,,#ภพอย่าวอแว ;) DoubleB,"201,248",,ภพอย่าวอแว
58,ct,ชุมชนคนขี้ชิป,11,อิ๋งมึงเหนื่อยมั้ย,14,จบ,3.0,https://cdn.readawrite.com/articles/1954/1953680/thumbnail/,6,"ฮยอนอิน,hyunin,Straykids,jeongin,hyunjin,จองอิน,ฮยอนจิน",#อุ๋งอิ๋งเหนื่อยมั้ยฮอ,"9,643",,อุ๋งอิ๋งเหนื่อยมั้ยฮอ
59,OTAsai11​,ชุมชนคนขี้ชิป,4,"""เรารักกันไม่ได้หรอก... แม่เป็นแม่ของภรรยาผม"" ""งั้นก็มาเป็นผัวเมียกัน แค่นี้ก็ไม่ต้องเรียกแม่แล้ว""",26,จบ,0.0,https://cdn.readawrite.com/articles/1954/1953768/thumbnail/,4,"ปัญเจนนิษฐ์,เฌอสิค,สิคเฌอ,BNK48",Wife Mom. | #แม่เมีย,0,,แม่เมีย
60,j\'li___.,นิยาย Boy Love Lovely Room,6,Shark#ฉลามอยากกินพืช: นิยาย Boy Love Lovely Room,13,จบ,2.0,https://cdn.readawrite.com/articles/1954/1953830/thumbnail/,4,,Shark#ฉลามอยากกินพืช,265,,ฉลามอยากกินพืช
61,FAY CHANAN,ชุมชนคนขี้ชิป,37,#เค้าว่าวีสุเป็นแฟนกัน: ชุมชนคนขี้ชิป,39,จบ,8.0,https://cdn.readawrite.com/articles/1954/1953842/thumbnail/,12,"vsoo,ฟิคvsoo",#เค้าว่าวีสุเป็นแฟนกัน,"72,260",,เค้าว่าวีสุเป็นแฟนกัน
62,พระจันทร์กลางคืน.,แฟนฟิคชั่น,0,OS/SF #คลังฝันพระจันทร์กลางคืน: แฟนฟิคชั่น,1,จบ,0.0,https://cdn.readawrite.com/articles/1953/1952742/thumbnail/,0,kookv,OS/SF #คลังฝันพระจันทร์กลางคืน,15,,คลังฝันพระจันทร์กลางคืน
63,มะอั้ย,ชุมชนคนขี้ชิป,4,ถ้าเธอชอบหมา นนท์ปากหมาเธอชอบมั้ย,14,จบ,2.0,https://cdn.readawrite.com/articles/1953/1952781/thumbnail/,3,"ชานนท์เป็นหมา,yinwar,หยิ่นวอร์",#ชานนท์เป็นหมา,"10,886",,ชานนท์เป็นหมา
64,เจนนี่,คาเฟ่อมยิ้ม,4,เรื่องนี้โลกสวยมากจริงๆบอกแล้วนะ!!! กดเข้าไปโลกสวยเกินไม่รู้ด้วยแล้ว,12,จบ,3.0,https://cdn.readawrite.com/articles/1955/1954445/thumbnail/,3,"Lizkook,yoonnie,jiros,jinsoo,TxT,itzy,blackpinkbts,RedVelvet,บ้านนี้มันดี",lovely House​ #​บ้านนี้มันดี[BLACKPINKBTSREDVEIETTXTITZY]​​,"4,020",,บ้านนี้มันดี
65,pizza 2109,นิยายโรมานซ์,14,สั้น ไม่ยาว มากค่ะ5555,15,จบ,5.0,https://cdn.readawrite.com/articles/1955/1954575/thumbnail/,11,"กันแก้ม,แก้มวิชญาณี,กัน,กันนภัทร",story gungm#กันแก้ม,719,,กันแก้ม
66,Overrain,นิยาย Boy Love Lovely Room,"15,500",ความสัมพันธ์เพียงแค่คืนเดียว เปลี่ยนชีวิตของธีรัชไปตลอดกาล เขามีแค่ลูกก็พอแล้ว และลูกของเขาไม่จำเป็น,"32,697",จบ,48.0,https://cdn.readawrite.com/articles/1955/1954609/thumbnail/,"5,490","Boy Love/Yaoi,Mpreg,นิยายวาย,18+,นิยายวายฟีลกู๊ด,omegaverse",(Omegeverse) แด๊ดดี้คือสิ่งมีชีวิตที่ไม่จำเป็น(?) #แด๊ดดี้คลั่งรัก,"3,098,602",แด๊ดดี้คือสิ่งมีชีวิตที่ไม่จำเป็น,แด๊ดดี้คลั่งรัก
67,inava,ชุมชนคนขี้ชิป,3,www.xpicxclipxlive.com คุยได้ นัดได้ รูปละ 500 คลิป 1500 ไลฟ์ 3000,28,จบ,1.0,https://cdn.readawrite.com/articles/1955/1954894/thumbnail/,2,"BTS,kookv,sex,NC18,Role Play,Dirty Talk",My kitten boy #ห้องนี้มีเมี๊ยว | kookv,"14,506",,ห้องนี้มีเมี๊ยว
68,#แก๊บซองงงง,ชุมชนคนขี้ชิป,131,ถ้าได้แค่ความใกล้ชิด..ก็อย่ามาสนิทกันเลยดีกว่าไหม,44,จบ,16.0,https://cdn.readawrite.com/articles/1955/1954965/thumbnail/,17,,#อั้ยหมาแบงค์ : DoubleB,"211,848",,อั้ยหมาแบงค์
