,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,viewer,new_title,hashtag
4377,มมด.,ชุมชนคนขี้ชิป,80,สรุปใครจะจีบใครนะ???,66,จบ,18.0,https://cdn.readawrite.com/articles/1758/1757108/thumbnail/,23,"ushishira,Haikyuu",#ชิชาจะจีบ | UshiShira,"279,624",,ชิชาจะจีบ
4378,galizsa_p,ห้องแห่งความรัก,175,เราจำเป็นต้องมีเมียคนเดียวเท่านั้นหรือ (ยังไม่แก้คำผิด),47,จบ,14.0,https://cdn.readawrite.com/articles/1758/1757140/thumbnail/,27,"วีกับคุณ,คิมแทฮยอง,VxYou,มรวย,เมียรอง",เมียรอง | #มรวย,"87,478",เมียรอง,มรวย
4379,Star_Diamond,นิยาย Boy Love Lovely Room,29,ความรักของเขา เริ่มต้นที่ร้อย ลดลงมาที่ศูนย์ เช่นเดียวกับจังหวะการเต้นของหัวใจผม ที่จากร้อย ก็ค่อยๆ,109,จบ,0.0,https://cdn.readawrite.com/articles/1758/1757257/thumbnail/,26,"Boy Love/Yaoi,นิยายวาย,18+,นิยายรัก,นิยายโรแมนติก,ดราม่า",Don’t cry because it is over #คุณที่ลดลงเรื่อยๆ,"1,251",,คุณที่ลดลงเรื่อยๆ
4380,Hoshi*,ชุมชนคนขี้ชิป,164,:มึงๆ รู้จักแอปนั้นปะ AU University,334,จบ,3.0,https://cdn.readawrite.com/articles/1758/1757390/thumbnail/,92,"riren,Levi,รีเอ,Eren",#อุ่นเป็นลม | riren,"464,809",,อุ่นเป็นลม
4381,midnighttea,วายสเตชั่น,5,ห้ะ?,7,จบ,1.0,https://cdn.readawrite.com/articles/1758/1757661/thumbnail/,3,"onewe,Cya,Kanghyun,giwook,OneShot,ตอนเดียวจบ,Boy Love/Yaoi,kangcy,คังคี",#แม่บอกชอบใครให้บอกตรงๆ—KangCy,"18,155",,แม่บอกชอบใครให้บอกตรงๆ
4382,meixna,ชุมชนคนขี้ชิป,223,คิวหรือเปล่า​ คิวไม่น่ารักหรือเปล่า,213,จบ,10.0,https://cdn.readawrite.com/articles/1758/1757706/thumbnail/,74,"KNB,allkuro,Kuroko",#คิวไม่น่ารัก,"557,054",,คิวไม่น่ารัก
4383,jes.,ชุมชนคนขี้ชิป,168,: กลับมาได้ไหม : เลิกเป็นเพื่อนกันได้ป่าว #ภพภีมรามก้าว,317,จบ,12.0,https://cdn.readawrite.com/articles/1757/1756703/thumbnail/,83,"Haikyuu,Haikyuu!!,AtsuKita,sunaosa,atsumu,osamu,Suna,Kita",#ภพภีมรามก้าว — haikyuu​,"432,671",,ภพภีมรามก้าว
4384,SweetGuMMy,นิยาย Boy Love Secret Room,210,'โดนพลิก' กับ 'โดนเด็กกิน' ทั้งสองอย่างนี้คือสิ่งที่ผมถูกกระทำ โดยนักศึกษาท่าทางเจี๋ยมเจี้ยมคนหนึ่ง,548,จบ,7.0,https://cdn.readawrite.com/articles/1757/1756910/thumbnail/,109,"โดนเด็กกิน,ติดเรท,เด็กมหาลัย,วัยทำงาน,ผับ",ได้ผัวเด็กเขาว่าอายุยืน #พู่กันแทงไท,"21,277",ได้ผัวเด็กเขาว่าอายุยืน,พู่กันแทงไท
4385,JK.WY,ชุมชนคนขี้ชิป,413,บริษัทหาคู่? เอาจริงดิ ทำได้เพียงถามตัวเองซ้ำๆ เรียนจบเมืองนอกมาเพื่อมาทำงานคอยหาคู่ให้คนอื่นเนี้ยนะ,311,จบ,25.0,https://cdn.readawrite.com/articles/1716/1715606/thumbnail/,89,"ยูจิน,Yujin,wonyoyng,annyeongz,วอนยอง,อันยองจึ,คิณณ์พีช",Sunshine (YUJIN x WONYOUNG) #คิณณ์พีช,"1,201,192",,คิณณ์พีช
4386,นริศ.,นิยาย Boy Love Lovely Room,1,ผมเป็นคุณพ่อที่ยืนขาเดียวมาตั้งนาน มาวันนี้ผมรู้สึกอยากมีขาอีกข้างมายืนด้วยจังครับ,10,จบ,3.0,https://cdn.readawrite.com/articles/1716/1715728/thumbnail/,1,"Boy Love/Yaoi,นิยายวาย,นิยายรัก,นิยายโรแมนติก,ดราม่า,ตลก,โรแมนติกดราม่า",Daddy One Leg #คุณพ่อขาเดียว (Yaoi),388,,คุณพ่อขาเดียว
4387,พาเรจึ,ชุมชนคนขี้ชิป,8,'มึงว่า.. เราจะตายกันก่อนเรียนจบป่ะวะ',24,จบ,2.0,https://cdn.readawrite.com/articles/1716/1715055/thumbnail/,6,"เอาไงล่ะกลุ่มเรา,namjin,Kookmin",#เอาไงล่ะกลุ่มเรา | namjin,"15,062",,เอาไงล่ะกลุ่มเรา
4388,zearet17,นิยาย Boy Love Secret Room,"1,623",นุ่มคือชายหนุ่มที่มาพร้อมความเชื่อลึกลับ ทั้งสีเสื้อนำโชค กำไลธาตุนำโชค เกจิไหนดีและดัง นุ่มก็พร้อมจ,"4,518",จบ,20.0,https://cdn.readawrite.com/articles/1716/1715038/thumbnail/,600,,Fortune of Love #ศาสตร์รัก,"160,612",,ศาสตร์รัก
4389,vkvee,วายสเตชั่น,19,- ไม่ต้องห่วง โบจะอยู่กับพี่เอง - To be with Turbo,26,จบ,2.0,https://cdn.readawrite.com/articles/1716/1715217/thumbnail/,8,"ก้าวหน้าเทอร์โบ,ก้าวไปกับเทอร์,2bwithTurbo,ก้าวอยู่กับเทอร์",2bwithTurbo #ก้าวอยู่กับเทอร์,"11,093",,ก้าวอยู่กับเทอร์
4390,since2012_,ชุมชนคนขี้ชิป,20,กูจับได้คู่กับเด็กหลังห้อง มีใครจะแลกกับกูมั้ย ※ panwink ft. jinhwi baekhwi ※,56,จบ,1.0,https://cdn.readawrite.com/articles/1716/1715286/thumbnail/,18,,°butterbeer° #บตบหลินฮุน 💛,"4,581",,บตบหลินฮุน
4391,คุณใบชา,นิยาย Boy Love Secret Room,105,"""มึงแม่ง น่าเอากว่าเมียกูอีกว่ะ"" ""ห้ะ....""",316,จบ,2.0,https://cdn.readawrite.com/articles/1716/1715347/thumbnail/,66,"SM,ฺBDSM,Boy Love/Yaoi,อริ,เมะเมะ,เมะxเมะ,ผัวพี่ติณห์,NC18+","ผัวของเมียผม ทำไมกลายมาเป็น\""ผัว\""ผมล่ะ [Yaoi] #ผัวพี่ติณห์","4,183",ผัวของเมียผมทำไมกลายมาเป็น,ผัวพี่ติณห์
4392,tothesweet,วายสเตชั่น,1,ไม่รู้ว่าเป็นเพราะอะไร จังหวะมันได้มั้ง,4,จบ,1.0,https://cdn.readawrite.com/articles/1717/1716690/thumbnail/,1,"noren,renjun,jeno",#จังหวะรักนร ; noren,"2,063",,จังหวะรักนร
4393,팽이버섯—🐻,ชุมชนคนขี้ชิป,18,“เฮียเอาเซี่ยงจี๊กับตือโต้มาให้ แกจะได้ไม่ต้องไปซื้อที่ตลาด” “เฮีย บ้านผมไม่ได้ขาย,92,จบ,1.0,https://cdn.readawrite.com/articles/1717/1716956/thumbnail/,13,"หมูสดมั้ยคร้าบ,หมูสดมั้ยคร้าบyw,omegaverse,yuwin,ยูวิน,NCT,wayv",#หมูสดมั้ยคร้าบyw | omegaverse,"12,439",,หมูสดมั้ยคร้าบ
4394,Karon_chan,ชุมชนคนขี้ชิป,16,หลากหลายคู่ มากมายไปหมด #ปลื้มชิม่อน #นนนชิม่อน #เตนิว #แฟรงค์เดรก #คริสสิง #ออฟกัน #ไมค์ท็อปแท็ป #ก,33,จบ,1.0,https://cdn.readawrite.com/articles/1718/1717232/thumbnail/,12,"นนนชิม่อน,ปลื้มชิม่อน,เตนิว,ออฟกัน,คริสสิง,แฟรงค์เดรก,ไมค์ท็อปแท็ป,ไบร์ทวิน,กันสมายซิง",โรงเรียนนี้ มีหลายคู่ #ปลื้มชิม่อน #นนนชิม่อน #แฟรงค์เดรก #เตนิว #ออฟกัน #ไมค์ท็อปแท็ป,"22,588",โรงเรียนนี้มีหลายคู่,ปลื้มชิม่อน
4395,W||nter||ime,ชุมชนคนขี้ชิป,14,“เม็ดฝนที่ไหล่หลั่งลงมาจากฝากฟ้า ก็เปรียบเหมือนน้ำตาที่ร่วงหล่นจากควาทรู้สึกนั้นแหละ” เต,28,จบ,3.0,https://cdn.readawrite.com/articles/1717/1716343/thumbnail/,8,,#MinCoups : ฝนหลงฤดู,"13,076",,ฝนหลงฤดู
4396,เบ๊บบ.,คาเฟ่อมยิ้ม,109,"; พี่บาสมาดูลิซ่าที่ห้องเราป๊าว (warning : dirty talk , boylove ,ooc)",342,จบ,5.0,https://cdn.readawrite.com/articles/1718/1717958/thumbnail/,64,"Haikyuu,Haikyuu!!,atsuhina,atsumu,hinata",#โชกุนเด็กติ่ง | atsuhina,"160,477",,โชกุนเด็กติ่ง
4397,WANPHA,ชุมชนคนขี้ชิป,23,ทำไมต้องทำหน้าดุใส่กันตลอดเลยชินนภัทร?,66,จบ,2.0,https://cdn.readawrite.com/articles/1719/1718023/thumbnail/,13,"เชินหนาน,CHENNAN",Nano | #สิบยกกำลังลบเก้าชน,"59,961",,สิบยกกำลังลบเก้าชน
4398,passa,ชุมชนคนขี้ชิป,131,พี่อาว่ามันแปลกๆง่ะ ว่าแต่ตรงนั้นใครอ่อ ไม่เคยเห็นหน้าเลย,245,จบ,17.0,https://cdn.readawrite.com/articles/1719/1718074/thumbnail/,57,"SakuAtsu,bokuroo,TendoUshi,oisuga,and others",#อาว่ามันแปลกๆนะ (hq),"653,674",,อาว่ามันแปลกๆนะ
4399,Babaycatcat,ห้องแห่งความรัก,"2,347",you got me feeling like a psycho ~psycho #winten (femten),"1,728",จบ,29.0,https://cdn.readawrite.com/articles/1719/1718196/thumbnail/,394,"winten,#WINTEN,winwinten,femwinten,#WAYV,#Winwin,Ten,Allten",psycho but it’s okay #ไซโควินเตน,"17,116,354",,ไซโควินเตน
4400,bemystarlight,ชุมชนคนขี้ชิป,94,Draco (n.) A constellation in the far northern sky. Its name is Latin for dragon or serpent.,135,จบ,29.0,https://cdn.readawrite.com/articles/1719/1718200/thumbnail/,33,"Malfoy,harry potter,HarryPotter,FanficHarryPotter,มัลฟอย,เดรโก มัลฟอย,เดรโก,Feltson,draco hermione,Hermione,เฮอร์ไมโอนี่,แฮร์รี่ พอตเตอร์,เดรไมโอนี่,Dramione",Draco’s Asteri #dramione | เดรโกอย่าดื้อ,"484,398",,เดรโกอย่าดื้อ
4401,2G00d,ชุมชนคนขี้ชิป,455,หล่อหรอวะ หน้าเหมือนอิจี๊ดที่อยู่บ้านกู,462,จบ,25.0,https://cdn.readawrite.com/articles/1719/1718412/thumbnail/,128,"Nosung,พี่เจคนดัง,เรื่องเล่าวันคนโสด",#พี่เจคนดัง | nosung,"2,825,069",,พี่เจคนดัง
4402,Wiview,คืนฟ้าหม่น,5,กูจะมูฟออนแล้ว กูพูดจริง,33,จบ,1.0,https://cdn.readawrite.com/articles/1719/1718551/thumbnail/,5,"ชมพิงค์rd,rendong,renchan,RenHyuck",#ชมพิงค์rd,"13,224",,ชมพิงค์
4403,BO_BO01,ชุมชนคนขี้ชิป,92,“ เรากลับมาคบกันได้ป่ะ ” “ ก็เริ่มจีบใหม่ละกัน ”,238,จบ,14.0,https://cdn.readawrite.com/articles/1719/1718664/thumbnail/,53,"Haikyuu,อะอุน,IwaOi,TsukiKuro,AkaBoku,HinaKage,tenushi",#ขอรีเทิร์นหน่อยออ hq,"532,397",,ขอรีเทิร์นหน่อยออ
4404,c\'estdelune,ชุมชนคนขี้ชิป,42,พี่มิ้นมันมีหน้าเดียวเหรอวะ,63,จบ,1.0,https://cdn.readawrite.com/articles/1718/1717522/thumbnail/,25,"มิคาแอนนี่,มิคาสะ,aot",#พี่มิ้นหน้าเดียว ( mika x annie),"35,757",,พี่มิ้นหน้าเดียว
4405,- bemypeachworld,ชุมชนคนขี้ชิป,10,เลิกซึน เลิกป็อด ยอมรับว่าชอบ แล้วจีบเขาเถอะขอร้อง,17,จบ,1.0,https://cdn.readawrite.com/articles/1718/1717623/thumbnail/,6,"ลีอิน,leein,Leeknow,jeongin,Straykids,โมเลิกซึน",#โมเลิกซึน / leein,"5,841",,โมเลิกซึน
4406,เจ้าหลาม♡,นิยาย Boy Love Secret Room,0,เมื่อเขาทั้งคู่แยกย้ายกันไปเติบโตและไม่ต้องการที่จะพบกันอีก แต่ชะตากลับเล่นตลกให้เขาทั้งสองกลับมาพบก,1,จบ,2.0,https://cdn.readawrite.com/articles/1718/1717695/thumbnail/,0,,เมียผมชื่อเกมส์ #เกมส์ปืน | Mpreg,95,เมียผมชื่อเกมส์,เกมส์ปืน
4407,พิกาบู~~~,ชุมชนคนขี้ชิป,6,ครูๆช่วยผมหน่อย ผมไม่เข้าใจ อืมมมครูเพิ่งบอกไปนะถ้าถามอีกครูโกรธจิงนะ,11,จบ,3.0,https://cdn.readawrite.com/articles/1718/1717750/thumbnail/,3,"โยซอก,ซึงพโย,ซึงโดยอน,ซึงกยอน,ซังจูน",ครูช่วยผมหน่อย #โยเเคท,"4,162",ครูช่วยผมหน่อย,โยเเคท
4408,"junemoon,",ชุมชนคนขี้ชิป,98,เคียงฟ้าไม่เห็นน่ารักตรงไหนเลย,277,จบ,3.0,https://cdn.readawrite.com/articles/1720/1719290/thumbnail/,75,"Haikyuu,KuroTsuki,IwaOi",#เคียงข้างแทน | kurotsuki,"343,483",,เคียงข้างแทน
4409,bbabiepink,ชุมชนคนขี้ชิป,27,คัยน้องมุงค๊า,51,จบ,2.0,https://cdn.readawrite.com/articles/1720/1719295/thumbnail/,17,"iland,jake,sunoo,jakeoo,เจคอู",#น้องนับตัง เจคอู,"43,040",,น้องนับตังเจคอู
4410,Namii_nabiii,วายสเตชั่น,0,ถึงแม้จักรวาลจะกว้างใหญ่และแสนไกล แต่จักรวาลตรงหน้าผมนี้ใกล้นิดเดียวเองแล้วก็ตลกดีที่ผมเอื้อมไม่ถึง,8,จบ,9.0,https://cdn.readawrite.com/articles/1720/1719357/thumbnail/,0,"Boy Love/Yaoi,นิยายวาย",[yaoi] จากหนึ่งถึงจักรวาล #จักรวาลเอกภพ,711,จากหนึ่งถึงจักรวาล,จักรวาลเอกภพ
4411,ลีอาไม่ใช่ชื่อจริง,นิยาย Boy Love Lovely Room,37,ผมไม่รู้ว่าคืนนั้นมันเกิดอะไรขึ้น แต่รู้อีกทีก็ตื่นขึ้นมาบนเตียงกับใครสักคนแล้ว แถมใครสักคนที่ว่านั่,21,จบ,10.0,https://cdn.readawrite.com/articles/1720/1719504/thumbnail/,7,"Boy Love/Yaoi,18+,นิยายวาย,Feel good",รู้แล้วหร(ล)อกเหรอ #สิระไม่รู้ [ Yaoi / BL ],999,รู้แล้วหร,สิระไม่รู้
