,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
11,RoseRRed,นิยาย Boy Love Lovely Room,4,“ถ้าเลิกกันขอจีนแฟนเธอได้มั้ย” ..... “ชอบ” และนับตั้งแต่วินาทีนั้น ดวงตะวันก,24,จบ,12.0,https://cdn.readawrite.com/articles/1396/1395787/thumbnail/,4.0,"นิยายวาย,พกตะวัน,Boy love / Yaoi / ชายรักชาย,นิยายฟีลกู้ด",ในดวงตะวัน | #พกตะวัน [YAOI],https://www.readawrite.com/a/2zwjem,938,ในดวงตะวัน,พกตะวัน
12,แมดดี้,นิยาย Boy Love Lovely Room,93,ราชาแวมไพร์... คนคนเดียวที่ควบคุมแวมไพร์ทั้งหมดไว้ บัดนี้เขาได้ตื่นขึ้นแล้ว!! หวังว่าท่านลอร์ดหน้าคม,172,จบ,26.0,https://cdn.readawrite.com/articles/168/167768/thumbnail/,26,,END [เคะราชินี] ที่รัก... #เอียงคอมาอีกนิดสิ เปิดจอง,https://www.readawrite.com/a/2z3vxd,"13,476",เคะราชินี,เอียงคอมาอีกนิดสิเปิดจอง
13,คนไร้ตัวตน,นิยาย Boy Love Lovely Room,2,"""อะ...ไอ..ไอ้เหี้ยยย""นี้คือคำที่ผมใช่ด่าคนตรงหน้า เฮอะ!! เพราะอะไรน่ะเหรอ??!!! ก็เพราะจู่ๆมันก็ตรงดิ",1,จบ,0.0,https://cdn.readawrite.com/articles/614/613940/thumbnail/,1.0,,รักวุ่นวาย##ของนายหน้าคม,https://www.readawrite.com/a/3zeb65,235,รักวุ่นวาย,ของนายหน้าคม
14,jmania,นิยาย Boy Love Lovely Room,570,เด็กวัยสิบห้าเค้าว่าอร่อย,"1,347",จบ,7.0,https://cdn.readawrite.com/articles/873/872454/thumbnail/,241.0,,ใจแตก | #พี่แบล็คซอยสี่,https://www.readawrite.com/a/3zkc79,"41,252",ใจแตก,พี่แบล็คซอยสี่
15,Scriper,นิยาย Boy Love Lovely Room,82,พี่หมี x นีโม่,397,จบ,3.0,https://cdn.readawrite.com/articles/1326/1325606/thumbnail/,74.0,,หมี #หมีอย่ามาดุ,https://www.readawrite.com/a/3zuw4g,"8,019",หมี,หมีอย่ามาดุ
16,ดอกหญ้าริมทาง,นิยาย Boy Love Lovely Room,14,คุณเคยมีความรักหรือเปล่า? ลองมาแลกเปลี่ยนเรื่องราวความรักของกันและกันดูไหม เผื่อจะได้รู้ว่าเรื่องราว,10,จบ,1.0,https://cdn.readawrite.com/articles/1438/1437357/thumbnail/,12,"ดราม่า,นิยายโรแมนติก,นิยายรัก,นิยายวาย,นิยายวัยรุ่น,โรงเรียน,เรื่องเล่า,FRIDAY,ตอนเดียวจบ,นิยายตอนเดียวจบ",เพียงหนึ่งองศา #ศาธาร,https://www.readawrite.com/a/3zxicc,"1,673",เพียงหนึ่งองศา,ศาธาร
17,Pakkablack,นิยาย Boy Love Lovely Room,2,เมื่อคนสองคนที่มีนิสัยเหมือนกับ “52Hz” วาฬที่โดดเดี่ยวที่สุดในโลกมาเจอกัน .....,3,จบ,2.0,https://cdn.readawrite.com/articles/1086/1085669/thumbnail/,2.0,"Boy Love/Yaoi,นิยายรัก,นิยายโรแมนติก,นิยายรักวัยรุ่น,น่ารัก",สองวาฬผู้โดดเดี่ยว #เหมันต์เดือนหนาว,https://www.readawrite.com/a/4zpb94,127,สองวาฬผู้โดดเดี่ยว,เหมันต์เดือนหนาว
18,yuu_u,นิยาย Boy Love Lovely Room,102,ลูกแกะคือเหยื่ออันโอชะของหมาป่าอย่างเขา แต่…ตอนนี้เขาอยากลองชิมเนื้อนายพรานดูบ้าง จะหอมหวานเห,76,จบ,11.0,https://cdn.readawrite.com/articles/647/646536/thumbnail/,24,"Boy Love/Yaoi,ต่อตัน",หมาป่าหุ้มหนังแกะ #ลูกแกะเปลือกนอก,https://www.readawrite.com/a/azf2rg,"4,583",หมาป่าหุ้มหนังแกะ,ลูกแกะเปลือกนอก
19,SATURDAY_s,นิยาย Boy Love Secret Room,4,ผมกวินอายุ 23 ปีเพิ่งเรียนจบมาดๆได้เข้ามาทำงานบริษัทยักษ์ใหญ่ แต่ใครจะรู้ผมคิดว่าเข้ามาทำงานเฉยๆสบาย,47,จบ,1.0,https://cdn.readawrite.com/articles/907/906845/thumbnail/,3.0,"แด๊ดดี้,เกรียน,นิยายวาย",แฟนเด็ก #แทนกวิน,https://www.readawrite.com/a/azl59u,"1,140",แฟนเด็ก,แทนกวิน
20,ไร้คำบรรยาย,นิยาย Boy Love Secret Room,2,เรื่องราวความรักของชายหนุ่มทั้ง2 ที่มีความแตกต่างกัน ทั้งนิสัยและอายุ เรื่องราวของเขาจะจบลงเช่นไรกัน,5,จบ,1.0,https://cdn.readawrite.com/articles/1148/1147677/thumbnail/,1,"Boy Love/Yaoi,นิยายโรแมนติก,ดราม่า,ป๋อจ้าน,อี้ป๋อ,ป๋อตี้จ้านเกอ",ระหว่างเรา (Between us) #ทอยกาย,https://www.readawrite.com/a/azqqur,580,ระหว่างเรา,ทอยกาย
