,author,category,commentCount,description,favouriteCount,isComplete,numOfchap,pic,ratingCount,tag,title,url,viewer,new_title,hashtag
412,ไอรัก,นิยาย Boy Love Lovely Room,62,'กาแฟได้แล้วครับ' กาแฟที่ว่ากลมกล่อมยังสู้กาแฟข้างกายผมไม่ได้,235,จบ,28.0,https://cdn.readawrite.com/articles/447/446777/thumbnail/,32,"MyCoffee,กาแฟของผม,ไอรัก,นิยายวาย",[Yaoi] กาแฟของผม [],https://www.readawrite.com/a/bzaep2,"15,821",กาแฟของผม,
413,Bluebell X HGC,นิยาย Boy Love Lovely Room,61,ระบบเฮเลนและท่านนิฬ จะมาป่วงมอบความฮาและสนุกสนานให้กับทุกคน เข้ามาติดตามกันได้นะคะ,171,จบ,5.0,https://cdn.readawrite.com/articles/452/451619/thumbnail/,26,,This system ระบบจ๋าฉันจะเป็นพ่อเลี้ยงแห่งไร่ [Yaoi],https://www.readawrite.com/a/bzaine,"9,021",ระบบจ๋าฉันจะเป็นพ่อเลี้ยงแห่งไร่,
414,ชินอิจิ,นิยาย Boy Love Lovely Room,4,ผมเป็นคนที่ไม่เชื่อในความรัก แต่มีคนๆนึงเข้ามาเปลี่ยนชีวิตผมไปตลอดกาล อาจะเป็นเค้าที่ทำให้การเต้นขอ,18,จบ,5.0,https://cdn.readawrite.com/articles/452/451727/thumbnail/,3,Boy Love/Yaoi,You Complete Me คุณเติมเต็มฉัน,https://www.readawrite.com/a/bzaiqh,630,คุณเติมเต็มฉัน,
415,Yoniso_The_Cop,นิยาย Boy Love Lovely Room,27,‘รามิล’ คุณพ่อเลี้ยงเดี่ยววัยสามสิบปลาย เจ้าของไร่องุ่นสองร้อยไร่ แต่มีนิสัยหวงลูกสาวแบบ,88,จบ,5.0,https://cdn.readawrite.com/articles/454/453040/thumbnail/,14,"ไร่แผลงรัก,รามิล,ทัตเทพ,bl,Yaoi",ไร่แผลงรัก [BL],https://www.readawrite.com/a/bzajt0,"2,746",ไร่แผลงรัก,
416,เหม่ยหลง,นิยาย Boy Love Lovely Room,6,.....เมื่อข้ากับ’ท่าน’มีบุพเพให้ได้พบกัน...แต่เหตุใดจึงไรวาสนาเล่า...... ...แล้วนางคือผู,45,จบ,0.0,https://cdn.readawrite.com/articles/456/455829/thumbnail/,4,,เหตุใดข้าจึงต้องรับบทนางร้ายด้วยเล่า?,https://www.readawrite.com/a/bzam3o,399,เหตุใดข้าจึงต้องรับบทนางร้ายด้วยเล่า,
417,เพียงเงา,นิยาย Boy Love Lovely Room,19,ผู้ชายที่ผม 'เก็บ' เขากลับมาบ้านด้วยฟื้นขึ้นมาและกำลังเข้าใจผิดคิดว่าผมเป็น 'แฟน' ของเขา เป็นการเข้า,30,จบ,13.0,https://cdn.readawrite.com/articles/464/463362/thumbnail/,4,"18+,Boy Love/Yaoi",(งดอัพนิยายรอการรีไรท์) สามีริมทาง,https://www.readawrite.com/a/bzas8w,"2,177",งดอัพนิยายรอการรีไรท์,
418,สาวแว่นผู้อาภัพ,นิยาย Boy Love Lovely Room,783,จากดารายอดฝีมือชื่อดัง สู่บาร์โฮสต์เกรดต่ำในคลับกลางคืน,754,จบ,25.0,https://cdn.readawrite.com/articles/471/470677/thumbnail/,197,"นิยายวาย,ซุปตาร์,เกิดใหม่,เริ่มชีวิตรัก,มาเฟีย,บาร์โฮส,ตายแล้วเกิดใหม่,สลับร่าง",Restar(t) เริ่ม ชีวิต รัก [Yaoi / Boy\'s love],https://www.readawrite.com/a/bzay7w,"46,614",เริ่มชีวิตรัก,
419,ปราสาทยามราตรี,นิยาย Boy Love Lovely Room,63,เพราะ011ดันหาเรื่องตายก่อนเวลาชีวิตนักฆ่าในร่างคุณชายสายนักเลงเลยเริ่มขึ้นตั้งแต่ตอนนั้นแม้ร่างนี้จะ,157,จบ,3.0,https://cdn.readawrite.com/articles/431/430814/thumbnail/,39,,[BL]กลับตัวกลับ \'ใจ\',https://www.readawrite.com/a/bza1ny,"4,027",กลับตัวกลับ,
420,Catzilla*,นิยาย Boy Love Lovely Room,299,เพราะ ตอนนี้ผมไม่ได้รักคุณแล้ว,503,จบ,27.0,https://cdn.readawrite.com/articles/433/432207/thumbnail/,95,"Mpreg,ราเชนทร์,กันต์กวี",AFD ผมไม่ได้รักคุณแล้ว (Mpreg),https://www.readawrite.com/a/bza2sr,"42,185",ผมไม่ได้รักคุณแล้ว,
421,littlemoonny,นิยาย Boy Love Lovely Room,1,"""พี่ทำยังไงผมถึงจะเลิกนกอะ ผมอยากมีผู้หญิงล้อมหน้าล้อมหลังเหมือนพี่"" ""มึงเลิกเป็นมึงซะสิ"" เมื่อคนมึน",0,จบ,2.0,https://cdn.readawrite.com/articles/433/432824/thumbnail/,1,"นิยายรักวัยรุ่น,น่ารัก,หวาน,มหาวิทยาลัย,โรงเรียน,ตลก",All over the Area... ไอซ์แลนด์แดนชาเขียว,https://www.readawrite.com/a/bza3be,122,ไอซ์แลนด์แดนชาเขียว,
